sample	OI	AOI	H_loss_Index	Carbonyl_Index
P1_500μC-N	0.03608021060084353	0.19815661074641913	0.039880716736457746	0.02197183358076677
P1_2000μC-N	-0.04285422665758075	0.0	-0.05339154282274157	-0.02839120029336734
P1_5000μC-N	-0.06182944129424786	0.0	-0.06825641360348653	-0.039098789728055625
P1_10000μC-N	-0.062197992011838135	0.0	-0.06255158096856196	-0.033873817635271454
P1_15000μC-N	-0.06929134746646605	0.0	-0.07167415119737759	-0.04149858398626348
P2_500μC-N	0.04329195714990402	0.2595989921919789	0.039312400151568984	0.027220570827085348
P2_2000μC-N	-0.06282590267170976	0.0	-0.06043888326066329	-0.03871436331834823
P2_5000μC-N	-0.04333579125196974	0.0	-0.04912827215634604	-0.0249633469341846
P2_10000μC-N	-0.055532165948936923	0.0	-0.06067547671267825	-0.03201458239491883
P2_15000μC-N	-0.07153506494028535	0.0	-0.06682338673684299	-0.041223485151372356
P3_500μC-N	0.03999771342750731	0.2577938851586411	0.04530947148378211	0.021919090667546142
P3_2000μC-N	-0.05410327345448544	0.0	-0.049940327385124425	-0.03472756506616351
P3_5000μC-N	-0.0722020046140728	0.0	-0.06877561822250734	-0.045348666868737585
P3_10000μC-N	-0.057853257963352105	0.0	-0.06488811666767778	-0.034840529237126765
P3_15000μC-N	-0.06057064722064235	0.0	-0.0648252963851415	-0.03297597858974326
