Mass (u)	log2FC	p_value	mean_500	mean_15000	std_500	std_15000	n_500	n_15000	t_statistic	q_value	significant
0		0.0017381866729625772	8.859713364370663	-2.581726824103012	0.8596724054564063	0.07967350438571529	3	3	22.95361747089623	0.006119595682379835	True
1		3.356550285117055e-05	64.1787759429201	-20.763306468538783	3.0053273247408674	1.4749014728066594	3	3	43.94733208574261	0.0007130622678870621	True
2		0.000578097454892463	7.1366292564594715	-2.264735260932512	0.47359468326329796	0.09052713248524585	3	3	33.77163621207545	0.0029794253444457705	True
3		0.27292457957896615	2.5746453527268582	-0.5883701310053614	3.662415649776038	0.29526717147546394	3	3	1.491033783128136	0.30872377767958376	False
4		0.573041737328869	1.1104980824039243	-0.0975435035914028	3.132098390853733	0.17148974792645688	3	3	0.6670480536110109	0.5991828970149399	False
5		0.2421592104742798	2.6619003862604997	-0.7933342570627783	3.6482640982264205	0.2684432999763814	3	3	1.6359853133936908	0.27862704401994415	False
6		0.20140270339316804	2.9136221995889375	-0.9874013504903475	3.6046680258978157	0.194370168451861	3	3	1.8717311697415524	0.23673651100600454	False
7		0.002189029445199601	5.837830963166116	-1.7461380310539572	0.6656064068605474	0.09138366224159611	3	3	19.55170531754205	0.007193718633343411	True
8		0.2305845715504205	2.2960420661442513	-0.9777005701433458	3.335907150374885	0.2950254604291037	3	3	1.6931654355865642	0.2674771924887937	False
9		0.5214690232010559	1.2708810494695049	-0.165111811235772	3.2213949928356276	0.3793479210628144	3	3	0.7667934619214163	0.5485501439711591	False
10		0.5941561125947644	1.120490316447438	-0.05256912305157369	3.2335871051429885	0.18449225658626717	3	3	0.6273217662480077	0.6197724240359758	False
11		0.2576214123088197	2.536871061082261	-0.6289499522716083	3.5000998612243053	0.1182544991353348	3	3	1.565737012631937	0.2933179740143555	False
12		0.0007105594601326702	43.82597538833313	-12.224276490919124	3.0446117763762426	0.5448857817539949	3	3	31.3877557699159	0.0033326299753119355	True
13		0.00024743255775586863	45.13388721583103	-13.521093486257966	2.6268489885864232	0.8058876168303379	3	3	36.97413942001075	0.0019592159800487416	True
14		5.655525929424885e-06	21.729853201090112	-7.590900965121635	0.9138655862170466	0.6060134633113959	3	3	46.31384158059837	0.00027433823816747587	True
15		0.00010071594341941658	7.964174593253415	-3.7426169537794607	0.2948639830391736	0.6025233169224852	3	3	30.22750722248825	0.0013477291278444366	True
16		0.0005954540551022429	75.56091995980324	-21.627779537113458	4.607012249056357	0.6731125216289422	3	3	36.155167256324354	0.003029042836592994	True
17		0.00011094291103903658	58.51223585396005	-18.08318676017231	2.575316886901545	0.8352981018448723	3	3	49.001801831288724	0.0013477291278444366	True
18		0.0013368460098246312	16.36182258635103	-4.737417999115025	1.3542307293745255	0.06889838348834472	3	3	26.950910870393404	0.005084685041734732	True
19		0.0007116752874948564	48.42880280244767	-13.423149205896586	2.9679049358637566	0.24730332679760036	3	3	35.971749788772854	0.0033326299753119355	True
20		0.01912306998042788	4.491922487153462	-1.307096116261198	1.434939715539542	0.12961292777723565	3	3	6.971351623982392	0.03864546160777885	True
21		0.06406520582297882	3.4164579499349386	-0.8831214206416198	1.9982714374725519	0.16871011638456332	3	3	3.7135541587545577	0.0953859731142129	False
22		0.025095628988871667	4.375976810713996	-1.2643716120660773	1.6437620168374996	0.24197529707550228	3	3	5.879931176122763	0.04690720636793809	True
23		0.004665329029962888	4.784794570308537	-1.343513379432964	0.794852152059879	0.128773382936409	3	3	13.18223062640203	0.012658883442671886	True
24		0.0008852588622161198	55.548989361191786	-14.866186719591125	4.036740605081916	0.5888043808205584	3	3	29.896792056255872	0.003864885298374718	True
25		0.0003136512271415032	61.11685117165913	-16.830159121579328	3.715096576425061	1.0831589560805388	3	3	34.88784333359975	0.0022031469261310425	True
26		1.8436770747486112e-05	45.4499336288688	-12.297308794328316	0.7851245197650862	0.21996167031435665	3	3	122.6719251234355	0.0004723066859135413	True
27		7.748748108588849e-05	13.713729632033859	-4.8686222349033	0.2506308690194354	0.6502727778033803	3	3	46.183882148050465	0.0011658828692013314	True
28		0.0004956897774823178	27.152601524802815	-7.223273931092805	1.3492800303267602	0.07393617120474809	3	3	44.061700497524406	0.0027913112528945338	True
29		0.00036822726252427987	23.932392807462694	-6.429448635528428	1.1462037616422875	0.16961528583062646	3	3	45.386125669089274	0.0023241010554974476	True
30		0.0005318127878667371	16.246174071925505	-4.346633960709415	0.8297209458735008	0.03160327773863154	3	3	42.95654473263394	0.00289505586394955	True
31		0.00016730394516398911	12.794607257077944	-3.696309140379359	0.5638013840273759	0.15120897528674648	3	3	48.93237645637765	0.001583931915628636	True
