Dose,OI_RSD%,AOI_neg_RSD%,H_Loss_RSD%,Oxide_Form_RSD%,Al_C_Bond_RSD%,Carbonyl_RSD%
2000,-14.627161008378408,215.63344739059423,-10.505921170710156,-10.592182712080733,-18.104688349875513,-6.951490990446689
500,4.62140847719171,7.980345655458948,4.511696567145341,4.312662204501065,4.761773198850409,3.8456445963947234
5000,-1.4016660198946163,-10.692578782800663,-0.7012963886961795,-0.6862318860270156,-20.35940679899133,-0.4935108881994177
10000,-2.5018932396452582,-7.094677197992015,-1.3958378899719381,-1.3771425549314158,-18.408530422109763,-1.9772204395172008
15000,-6.996445923091342,-13.227216591051036,-2.8929229640727283,-3.101440086998002,-30.017688894815837,-8.076937117644817
