sample	OI	AOI	AI_sim	Aliph_Arom_Ratio
P1_500μC-P	0.026645134747113608	0.6008221313160849	0.028625150102578135	0.6825028131673485
P1_2000μC-P	0.026893512143761206	1.5999230446252108	0.03157118994349859	2.2480357883003816
P1_5000μC-P	0.024248906169734404	1.4067408048961638	0.039003697810331035	1.547319789787334
P1_10000μC-P	0.023027417813085132	1.5092712392224017	0.0352066277831523	1.71324423601896
P1_15000μC-P	0.020569335332722052	1.9799695689093597	0.04079054495985554	1.437629154565648
P2_500μC-P	0.02728709041823768	0.7040073600379506	0.026455508550494403	0.6725127698788066
P2_2000μC-P	0.026986404518105602	1.717074270790026	0.03422949436757248	1.9785871614575077
P2_5000μC-P	0.025877899504162378	1.689782602368952	0.03205730110094252	1.8887904209711828
P2_10000μC-P	0.022993998764620723	1.8503383485259488	0.037059507880020916	1.6689087681291261
P2_15000μC-P	0.018150411326994468	1.7270808878635637	0.037899855029548214	1.461847874083154
P3_500μC-P	0.02622184962905885	0.7325092612636551	0.030888286545228634	0.6222737240109969
P3_2000μC-P	0.028706390696862275	1.6526524591622862	0.02950400525937108	2.354801427796461
P3_5000μC-P	0.023258625577804472	1.738160432879266	0.029722963000171534	2.279007064991925
P3_10000μC-P	0.023026726419067545	1.7614917153672605	0.03762001267168541	1.5125613504818496
P3_15000μC-P	0.021187645455909798	1.6126347004470578	0.039729186438253204	1.6172500037496784
