Mass (u)	log2FC	p_value	mean_2000	mean_10000	std_2000	std_10000	n_2000	n_10000	t_statistic	q_value	significant
0	0.0		0.0	0.0	0.0	0.0	3	3			False
1	-0.15076097533194904	0.005489110382315825	0.05708752440989287	0.05142302662285517	0.001062139769359632	0.000422852604592823	3	3	8.582095585945105	0.030862614003881694	True
2	-0.12706952117608913	0.047047150231777864	0.017202747012357	0.0157523758295221	0.0004756869103522955	0.0006924950520593257	3	3	2.9901331131802165	0.15725602577472206	False
3	-0.06795553175571045	0.18468987390260577	0.009601939396048266	0.0091601441251587	0.0002739534527530971	0.00037989826723819467	3	3	1.6337662380415632	0.3852621693938877	False
4	-21.691207274011468	0.42264973081037427	0.0003386132151133	0.0	0.0005864952926904852	0.0	3	3	1.0	0.6295504452273433	False
5	0.0		0.0	0.0	0.0	0.0	3	3			False
6	-0.7434759625446706	0.7506358134457249	0.00031779677929743335	0.00018981950373106666	0.0005504401682249077	0.0003287770247297175	3	3	0.34572516688194005	0.8740254898993496	False
7	0.42727018335724015	0.7634912488108355	0.001189094443042	0.0015989596350976666	0.0020595719903465605	0.00015095815071593886	3	3	-0.34376466395523997	0.8807120519570643	False
8	0.0		0.0	0.0	0.0	0.0	3	3			False
9	0.0		0.0	0.0	0.0	0.0	3	3			False
10	0.23515187541060498	0.5466244144836055	0.0010766216889217999	0.0012672167322634667	0.0004038770700209598	0.00029030267757485374	3	3	-0.6637111474900861	0.7319938925813583	False
11	-0.5728887075257321	0.013682286644911355	0.0032217927956079335	0.002165912532912	0.0003304660209428088	0.0002597263475053855	3	3	4.351102797283404	0.06347683804114612	False
12	-0.10000614437881088	0.02229784300266809	0.020849182755859466	0.019452892501854963	0.0004073698714319333	9.707163491945748e-05	3	3	5.775037740050324	0.09418342641425477	False
13	-0.13370988380704565	0.004404357255177495	0.02750087572530323	0.02506662347952743	0.00034172833051175215	8.556149344107724e-05	3	3	11.968563517156376	0.0266375290464642	True
14	-0.16318602270638116	0.0005194764329363789	0.04179721732227423	0.0373270339252635	0.0005069308030858233	0.0003266266655526083	3	3	12.839139621766764	0.006346475809976925	True
15	-0.09415266573012174	0.0005957166756198454	0.07279078556201816	0.0681920316710688	0.0005828261893384814	0.0004335927539683675	3	3	10.965078805404557	0.00692826654248286	True
16	-0.06199831562260174	0.2126273773964823	0.010178610204450165	0.009750460567062533	0.00026062195218001127	0.00040810464172223905	3	3	1.5314739082027544	0.4169067977127332	False
17	-0.06253495802941769	0.3432308756256633	0.0059788081503446	0.005725187566153767	0.0003569006089639471	9.352662346954648e-05	3	3	1.1906270428251085	0.560331023290682	False
18	0.2380149584706084	0.25309694546372324	0.0165372866994524	0.0195035603251399	0.003265165011006381	0.000781346225283468	3	3	-1.5302948416734377	0.45873383937777906	False
19	-0.01188518561482461	0.3770239923682875	0.035757111358208166	0.0354637477846071	0.00033043159941710906	0.00038875781219054143	3	3	0.995898282620901	0.5986341963925937	False
