Dose,AI_sim_mean,AI_sim_std,AI_sim_count,OI_mean,OI_std,OI_count,AOI_pos_mean,AOI_pos_std,AOI_pos_count,Metal_Oxide_mean,Metal_Oxide_std,Metal_Oxide_count,HC_Degrad_mean,HC_Degrad_std,HC_Degrad_count,Chain_Scission_mean,Chain_Scission_std,Chain_Scission_count
500,1.484802219448022,0.04466441992381782,3,1.4504627518237314,0.11059362812222197,3,0.3313145100854289,0.0056415340925879635,3,0.31614443492684846,0.005471834540216636,3,0.06677368770155447,0.0025740784688080354,3,0.2516391472455317,0.007449741392735218,3
2000,0.43627913691425296,0.0039470536627213525,3,0.4093772623192981,0.0029746999180839647,3,0.7099974718336673,0.0033977117528158737,3,0.6617646853401614,0.001897346513491184,3,0.17262641721323502,0.004517673349730545,3,0.558326689224995,0.006528458469864027,3
5000,0.4751939030414272,0.0040062035235986955,3,0.40826743482124134,0.0068117564587771556,3,0.6859628078547592,0.007612479293115432,3,0.6392530288752145,0.006506848205940213,3,0.16803717668114412,0.00126730582266322,3,0.5388573277542491,0.0032893957199779055,3
10000,0.5387792693999343,0.005714332070400135,3,0.4005069020525373,0.004967271637497498,3,0.646870712841873,0.0033743937955889414,3,0.6018985485424974,0.003645242333622778,3,0.1600724441534785,0.0011707295439378092,3,0.514136476192484,0.0034551911547762563,3
15000,0.581900072713403,0.00809407786619667,3,0.40027507584019245,0.005333386470934361,3,0.6099811217702316,0.022571396533429808,3,0.565134509317418,0.025760689377724154,3,0.15127877678229806,0.005676827198142299,3,0.4858213685405706,0.015360592998150631,3
