Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
451	0.07140577024534742	0.014850477420991656	0.07485517168515891	0.06876210506690943	0.06569741008267696	0.07518066665855454	0.013551211796610587	0.07604800873655385	0.07075723533930474	0.06073013378629131	0.07424280897301058	0.0148765521175575	0.07568228770799125	0.07045920935829865	0.0669772512869238
452	0.012631164983798715	0.011689048833996424	0.013338509993727753	0.012850656266435286	0.013114723873678739	0.013720543414787725	0.011977602058927419	0.01383880742095926	0.01324474089609475	0.012875718543364964	0.013420125050051968	0.01229375318967521	0.01253333023730097	0.013716014008515813	0.012354329118799428
453	0.015271900047647982	0.014274471464423923	0.01593389729911117	0.01454027059719983	0.01434037881247682	0.016146334483606514	0.016247575571461104	0.015742037054420458	0.015014736518531514	0.014353644479288826	0.015838057172233903	0.015056892386205873	0.015886134803683578	0.014533179920285036	0.014603515950796177
454	0.00844728939039372	0.014020118021975706	0.008620861675072568	0.009243788504516664	0.009473429516544212	0.009267005119258686	0.013865187098423888	0.009329604907999571	0.009661662992589727	0.00935794015084452	0.00900062550480523	0.013939879488955087	0.008917226075033452	0.00871142705073629	0.009096832140218426
455	0.008686204182165687	0.01896279915469217	0.009494094630036183	0.010017754769124141	0.009903728796153477	0.009968131641820697	0.019535566080416882	0.009681992403265475	0.009799555690981322	0.010230476884973333	0.010581909991299362	0.019438853618359703	0.010555978391413659	0.009375256304279109	0.009211752575829317
456	0.007038449887633311	0.015482738141835189	0.007777035599202305	0.007336292541955484	0.007182477137378057	0.0073090702714968215	0.014373237865024811	0.007675878505643819	0.006497072073645296	0.00799948191449996	0.007360637753900988	0.01523513458641321	0.007545661945288293	0.00661667864123042	0.007160225560905867
457	0.00794834637002581	0.02077299121781532	0.008245937335513402	0.007720090205105237	0.008130219517531529	0.008740266750730034	0.020538172088213708	0.008371375188899726	0.008603757031266326	0.00933245207840714	0.008063218418936343	0.02270554985450028	0.008580662780402613	0.008073849360253977	0.00815851988779189
458	0.0076866789439060295	0.015169881008466543	0.00938928790420636	0.009910834719981275	0.010406547480250277	0.008148883172815858	0.016768969073524834	0.009472129683842059	0.009661871303008596	0.010645336368641758	0.009086269676484786	0.018220142539998617	0.008494422836903383	0.009597310701043242	0.009977465721201433
459	0.013834517064520872	0.02105939645080242	0.017921416167138323	0.018942558260593684	0.019790286747648718	0.016177465643587446	0.02149395666304927	0.017400409416297245	0.019123023125097418	0.01845982574238324	0.01565802992797388	0.02091065248001018	0.0174483984023024	0.01916001438637211	0.019134584883985947
460	0.006288138199677021	0.017653181668480192	0.007623049289463663	0.007336292859061724	0.007653417655561843	0.007171140948481808	0.015245205315511648	0.00703882699236889	0.007633194982753013	0.008977367508796491	0.0074303837945379906	0.016510471883977928	0.007144709286975193	0.007931927183303605	0.00797258050428959
461	0.007774909572876581	0.01889944584464204	0.008551908119450542	0.008104475026306488	0.00885790328058552	0.008118237951270816	0.014960203455133724	0.008290991473144828	0.007901175983698376	0.010242356517576818	0.007568026866126895	0.018875057746345136	0.008230279642614816	0.008093930899655832	0.007743721488452406
462	0.008420379054042483	0.015248746852815248	0.009981206931532604	0.009194462481188121	0.00968396514669605	0.00830066703467167	0.014373321646293525	0.009909758864385705	0.009107361823456745	0.010312240213119562	0.00931067595568058	0.015056896494282521	0.009451697500758159	0.009253120971227812	0.008947323517240613
463	0.009194721313282651	0.011791189860777101	0.011300713049341044	0.010346696387244112	0.009753542825344446	0.011172863427728044	0.012900298758344567	0.010690309443256213	0.010837256590176845	0.010769642594833274	0.010434746501834232	0.014693942626318264	0.011210254885937757	0.009847863153784551	0.009977739745967421
464	0.006029865395519109	0.014105338649868241	0.006653899890691599	0.007500224762800252	0.007565090640895561	0.007708048343083295	0.014472803934150251	0.006680955623711302	0.007192000160194111	0.0096492021475464	0.006889868818669605	0.013939897215078302	0.007706573609328985	0.006238260923415412	0.006266993407831415
465	0.0077162258177246885	0.013585951709356586	0.008245923801544992	0.008271651760779068	0.007088437753256761	0.008654094044397154	0.013011095747156805	0.007646798881396716	0.008464436949849543	0.01389358579201932	0.007769888521744183	0.01324494935129015	0.0075457329198897	0.007724824660478361	0.007527743998951898
466	0.0074158389838178025	0.016603488329668757	0.00785293666348171	0.007876010695485415	0.007996793875834319	0.007643011107115037	0.016854366385887026	0.008044979548227126	0.0077107280067739365	0.008593984471431093	0.007567991491026217	0.016263355940949027	0.007545703640267236	0.007292868764260344	0.007646236405382751
467	0.011119282468256069	0.013848131263517199	0.010350676152161922	0.010521189726237128	0.010522195461156254	0.009867393288015856	0.014767093843469817	0.010773205972167051	0.010244516570879714	0.01126085136463688	0.01063055881841265	0.012511402429301563	0.010509329091779138	0.009375191637656164	0.01015624358370235
468	0.013784518615191825	0.01864406541608358	0.01532603721776319	0.014307556287933943	0.014460985309900098	0.013847378186365741	0.018938785228704912	0.015030197412487496	0.014973970318067659	0.014453230096347785	0.014775019368528422	0.019159105979413425	0.014187404668055825	0.01455465320294029	0.014217623600648863
469	0.014849414639075225	0.014850452788416365	0.01569695268183565	0.014446515097881932	0.014114005670646306	0.01630065239786715	0.015432275161633919	0.015628699329737678	0.015531848619339837	0.014792219259256481	0.015822265685681472	0.01549850470230269	0.01576231208485572	0.0149952994553125	0.013920302540989297
470	0.0102244770560351	0.02083049876208507	0.012778359664726643	0.011659226583762781	0.011045332441500461	0.011887261358093062	0.019239478313863273	0.01206342092198918	0.012070010540819425	0.012253350170792245	0.01147107371085799	0.020188125634116455	0.012375584530759121	0.011043122955938024	0.010589677809287873
471	0.009462716435214806	0.015713250027895455	0.011300658845127856	0.010820879706810007	0.010624035908027745	0.012013002499082668	0.01710778202392208	0.011839610916477516	0.011054674850987987	0.011945535498641776	0.01115205388304406	0.016428527537987184	0.011849048617031264	0.010984689958212645	0.010215283053636845
472	0.007627310469428688	0.019584738105594624	0.009720275168319964	0.008648984263906864	0.008766291796290203	0.008909936563069137	0.018786745843235173	0.009353537223356382	0.008859012756641199	0.009686489018810281	0.009142891392604364	0.018294185060086707	0.008523202863947513	0.008272213850138876	0.008249885613110618
