Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
0	0.02222753841735049	0.006307166202751928	0.003701385753062698	0.013684876581611443	2.6536252361537027e-13	0.0019162422705547948
1	1.3033407289386212	0.632514165731964	0.21108347189049476	0.17032613123414322	0.006382828014616435	0.181840162816374
2	0.014732851613947178	0.006073447224948497	0.002194136110717132	0.0077368439092986305	0.007265320943981176	0.004396365506891991
3	0.00207446598853336	0.0010834493638425607	0.0005745849712127679	0.012901778685534422	2.340813997281113e-258	0.001642257049435151
4	2.09201650720075e-40	1.4107706901373659e-52	0.0004579501767835169	0.013368997697990884	3.0763343245203563e-37	9.076596733736424e-27
5	0.002100660758023954	0.0008009892259800753	0.0007209953659620127	0.012676673366167778	1.8112207317586247e-276	0.0011363252749361156
6	0.002834208092452473	0.0007790003912066326	5.335518082218016e-32	2.20413025e-316	0.006229724254222961	1.3178756179588474e-22
7	0.009540340622541325	0.002187284109983083	1.0537811526341166e-07	8.827177909110094e-06	0.0041377923323693095	0.0028556308040019536
8	3.499159009684476e-10	3.089273406368229e-29	3.07317268723459e-108	0.010799570431140154	0.01918710263072665	0.0038667359424930724
9	0.0010459061237909136	9.738510080335025e-05	0.0008915404023088064	9.882751043814315e-223	0.0	1.5508939212260346e-114
10	0.0010392559643711584	0.0007170261244894932	0.00030242687135223977	3.050961095971494e-198	0.0	2.4967982650112617e-163
11	0.002248792534432688	0.0011952417990873296	0.00038958011902941636	9.786564781346929e-296	0.009052783193731855	0.0007469548271867746
12	0.540450736131255	0.10360192968327878	0.05710486660679796	0.012994468895309952	0.08611165342874114	0.035823875183990855
13	0.6081208587395461	0.2062870173690863	0.08080844409231867	0.03413464913412806	0.040041086713508804	0.058160368576118615
14	0.15506177220689116	0.09332139918503259	0.02355726402772629	0.03791137593539742	7.96148943006171e-05	0.02744663965049422
15	0.029897504675407017	0.03718580077502261	0.01336328637249622	0.010831021141578013	0.0025740617163433665	0.010664375782700589
16	1.5993920334259832	0.2903124047995592	0.0786563835490135	0.030334008178291797	0.14572508358818362	0.1469351769068217
17	1.0137161377909125	0.33985027604441814	0.07831041846642635	0.12087993111482674	0.010196546299027194	0.13042105758511593
18	0.07630199556196413	0.01582689761177013	0.004278228850424028	1.7939191546185203e-05	2.1902130730302277e-05	0.0054515334476071976
19	0.6239770898869031	0.04562178826084559	1.5882648217916346e-09	0.04453122533034115	0.10701041428002828	0.03985509753758
20	0.006075298857064473	0.0016326720186164822	0.0009483846452986186	1.6962115636385925e-23	1.4947923382483954e-26	2.460497639436924e-20
21	0.002915943517688116	0.0005010630259015572	0.000914604097918793	1.7640793278181265e-23	0.01133104939139131	0.001662099984753355
22	0.005641963741900713	0.0012881571670900686	0.0012668413835468927	6.289649751559637e-54	0.002423598022335488	2.4439555987797905e-27
23	0.00568543390993169	0.0011460401913998704	0.0007337262364380832	0.010492802634766324	0.002516377368209773	0.0017875754876200054
24	0.8516522260620663	0.10696697157489513	0.09540119301780593	0.002270957671399764	0.12712781379513427	0.028113143430748347
25	1.094507683921554	0.27375324720754646	0.21390830521978935	0.022072314688362675	0.03695492097571818	0.05980031152325494
26	0.5472872416272555	0.053367904178914516	0.051726080964697496	0.2580348131049183	0.09919978451067113	0.11655703639454174
27	0.07014496305691066	0.05969956295051152	0.03203495880153494	0.035547179127858666	0.004704173170695322	0.020811008900235836
28	0.19441793497748355	1.2964993742191844e-18	1.5255112230787713e-29	0.006858462796463682	0.006094573754562534	1.5804127693626982e-11
29	0.15695003801230578	0.016991760265889506	0.012603632514092274	0.0120749432056568	0.0009992697604521085	0.0001931534114941721
