component_id,rank,mz,weight
Comp_1,1,16,1.6008855024543283
Comp_1,2,1,1.3041045088688503
Comp_1,3,25,1.0953247718543404
Comp_1,4,17,1.0140566314354666
Comp_1,5,24,0.8517151229952711
Comp_1,6,60,0.7448606985490629
Comp_1,7,77,0.6729765261446877
Comp_1,8,76,0.6448446437116532
Comp_1,9,19,0.6242440811008261
Comp_1,10,13,0.608769273399085
Comp_1,11,26,0.5472839880687406
Comp_1,12,12,0.5407280188742343
Comp_1,13,49,0.47018248606079627
Comp_1,14,48,0.4344990597909416
Comp_1,15,61,0.43445727822227037
Comp_1,16,36,0.3691250025725569
Comp_1,17,137,0.33038945710015305
Comp_1,18,73,0.29421424929495843
Comp_1,19,41,0.27385218501346437
Comp_1,20,72,0.27071068741325777
Comp_2,1,1,0.6549468548650818
Comp_2,2,35,0.41603855535287415
Comp_2,3,17,0.36053298535779826
Comp_2,4,16,0.31785839031274055
Comp_2,5,25,0.27544106389820144
Comp_2,6,37,0.24103160748976954
Comp_2,7,13,0.2136769371524446
Comp_2,8,59,0.17773483234227505
Comp_2,9,41,0.17429053755261034
Comp_2,10,43,0.15895009508734845
Comp_2,11,119,0.14535431177029975
Comp_2,12,281,0.1315979034083898
Comp_2,13,49,0.12463720966991947
Comp_2,14,179,0.12174252496882464
Comp_2,15,467,0.12117422910962126
Comp_2,16,569,0.11980345762472487
Comp_2,17,365,0.11929372056833049
Comp_2,18,323,0.1177198216809596
Comp_2,19,45,0.1160620242773301
Comp_2,20,425,0.11163885118821243
Comp_3,1,25,0.2226019584504628
Comp_3,2,1,0.20980962945845896
Comp_3,3,49,0.19088870226879365
Comp_3,4,41,0.17388592892774002
Comp_3,5,45,0.14885125953071343
Comp_3,6,73,0.13275446512561867
Comp_3,7,65,0.11912304598420914
Comp_3,8,24,0.09910261897848686
Comp_3,9,69,0.09317529128288655
Comp_3,10,67,0.08615382393140401
Comp_3,11,281,0.08192433744350384
Comp_3,12,53,0.08177960295809664
Comp_3,13,13,0.08044480584360557
Comp_3,14,61,0.07575725190859187
Comp_3,15,62,0.07418328524457284
Comp_3,16,48,0.07378903515278314
Comp_3,17,179,0.07147676819132916
Comp_3,18,17,0.07091941041041744
Comp_3,19,425,0.07072651798469241
Comp_3,20,569,0.07004885859739285
Comp_4,1,26,0.2627356711397237
Comp_4,2,1,0.17522431043204756
Comp_4,3,17,0.12647579220194108
Comp_4,4,42,0.11884887848905049
Comp_4,5,35,0.11469116949866559
Comp_4,6,77,0.08162106407460547
Comp_4,7,50,0.07676434023660257
Comp_4,8,80,0.07211746388707442
Comp_4,9,61,0.06930098518541472
Comp_4,10,197,0.06667870177058585
Comp_4,11,137,0.06413290805988084
Comp_4,12,41,0.06301463783876028
Comp_4,13,33,0.05948698511174826
Comp_4,14,127,0.05829074531537778
Comp_4,15,38,0.05654874671826529
Comp_4,16,257,0.051983821913203686
Comp_4,17,37,0.04987938762860374
Comp_4,18,64,0.04882208804355755
Comp_4,19,45,0.04834364312234599
Comp_4,20,66,0.0479867439101392
Comp_5,1,16,0.1398586820956325
Comp_5,2,24,0.1303093983268172
Comp_5,3,35,0.11720937777723889
Comp_5,4,19,0.10925476976121071
Comp_5,5,26,0.10196003171563313
Comp_5,6,12,0.08763359442011225
Comp_5,7,127,0.05358164037907876
Comp_5,8,48,0.051081866920110075
Comp_5,9,108,0.050842674487144676
Comp_5,10,72,0.04392416398832111
Comp_5,11,331,0.04209199184678333
Comp_5,12,281,0.04129076009892486
Comp_5,13,235,0.04095648267831735
Comp_5,14,13,0.03812975681253663
Comp_5,15,37,0.0379656185339113
Comp_5,16,156,0.03660191028989463
Comp_5,17,64,0.03603201455839487
Comp_5,18,42,0.03508948914153857
Comp_5,19,257,0.03447373371116451
Comp_5,20,188,0.034405383600038975
