Mass (u)	Comp_1	Comp_2
0	0.0008051056579658803	0.0002710155521310909
1	0.04550396053571488	0.02338516616587084
2	0.0005515148299664004	0.00025668919112486837
3	0.00010806162067155824	6.24630409218351e-05
4	3.226177692451743e-05	2.0280159476860526e-05
5	0.00010819403033880909	5.299968438532969e-05
6	0.00011555809823392084	2.6652379294407756e-05
7	0.0003412314172116479	8.791033631576256e-05
8	8.522978330624877e-05	4.182547376922114e-05
9	3.604451886660251e-05	1.1701448997752588e-05
10	3.587434305359564e-05	2.286661817148714e-05
11	0.00010363039653666091	5.256782524698773e-05
12	0.018915567424765384	0.004336149591546064
13	0.02119235069302296	0.007852405749640858
14	0.0054647492435195505	0.0033582277494013375
15	0.0010746549670138167	0.0013763581789771905
16	0.0556480533361978	0.011229393948717074
17	0.03535032314442918	0.012412561268750328
18	0.002631004323408568	0.0005814477676600563
19	0.021932146950481995	0.0019476359623037587
20	0.00020944653060757382	6.150229482164261e-05
21	0.00013316109122407343	4.9417331260974046e-05
22	0.00020143100378197236	5.753892885644484e-05
23	0.00023292500543278398	7.107964615740577e-05
24	0.02971910664023098	0.00502282534848756
25	0.03791191520556116	0.01174522428986503
26	0.019885598889235048	0.003456410019349499
27	0.0025415000937118867	0.002393999657838393
28	0.006728877925541626	0.00014489125953035713
29	0.005444131441761823	0.0007425624721614747
30	0.002426615164179706	0.00010402137721529317
31	0.0016661130149456403	0.0005289146114703518
32	0.007109871324394098	0.0019512566714645684
33	0.0026960938400568363	0.001449331709695878
34	0.000652240410128395	0.0003228771096297514
35	0.0038887424228647087	0.0129844215200794
36	0.012839188091437442	0.003091662206651191
37	0.008165490406645933	0.007953232004346816
38	0.005349973775717976	0.0031937009477181295
39	0.002961578004458841	0.002297515107822557
40	0.008269008448907385	0.0031326379359872857
41	0.00964443232816352	0.007782809900572178
42	0.005830131805024109	0.0027816232369624063
43	0.004092342604147523	0.005807752145069139
44	0.0023871078157368993	0.0013697265346036124
45	0.004846003547483044	0.005619842165239401
46	0.001003472655714594	0.0008907189646149693
47	0.0015886501347950404	0.0007108885196700961
48	0.015124755434666287	0.0028471933448014587
49	0.016291321268603217	0.006504275265944159
50	0.006592626025208884	0.0020409365382284446
51	0.0028996902278465714	0.003091211380329622
52	0.0039486102042052265	0.0016104903914884092
53	0.0034710867681283088	0.0034044219300513197
54	0.0012378141198625345	0.0011250174371983338
55	0.0012713932973687117	0.002128860851025641
56	0.0013155915782330746	0.0006144696581575322
57	0.0014088230584501226	0.0013898041599672583
58	0.0010723533723462125	0.0020742398990473924
59	0.004501714446936703	0.005863046879137716
60	0.025752748110107197	0.0013065630184204706
61	0.015164388734375657	0.0024362460447579556
62	0.007072482221572541	0.0024068301068123016
63	0.00598227719032769	0.0021181767472707976
64	0.0032602826954235757	0.0022707220978973974
65	0.00433541309136178	0.004148656186180895
66	0.0021610156743180737	0.0016697426663178107
67	0.0018674798000247906	0.003796633731084467
68	0.002371409654708034	0.00097740774675031
69	0.0033709246574542225	0.003244114085750078
70	0.0012220405514382934	0.0008670915379028456
71	0.001061420978598811	0.0030708177618074136
72	0.009479006681486631	0.0016260779452795763
73	0.010265890996827752	0.0037746121748013966
74	0.004174500688289828	0.0013850608120510879
75	0.0026655722004155016	0.002469573359878662
76	0.022260343256642875	0.0
77	0.023419651864075818	0.0026856934849803305
78	0.007040157743777119	0.0007959661929409005
79	0.008494725521200825	0.0017591494451532688
80	0.0021784847945206876	0.002048344381499252
81	0.002273110839072282	0.001841577956089675
82	0.0010529128507866681	0.0009922110363172637
83	0.0010481481190411255	0.002492681692105551
84	0.005951505980370746	0.0012627871833595778
85	0.00515251050050437	0.002228425155542533
86	0.0037573813957107647	0.0017519094252826922
87	0.0023663482363411453	0.002024182025902513
88	0.001667547433776732	0.0009834475807302054
89	0.002440263497855695	0.0020063829875437518
90	0.0011347546311710457	0.000907723422815261
91	0.0010509691117457274	0.0017837599719702415
92	0.0012111105889198853	0.0010805807340551917
93	0.0014163110330703426	0.001974739123583739
94	0.0007188700185366165	0.0010179716493720528
95	0.0010524124582594503	0.0024489671613815802
96	0.0058830744049570855	0.001136519858117576
97	0.006769339866248198	0.0025774936440414046
98	0.0028986389862790704	0.0008991544206796958
99	0.001849955383210504	0.0015124701248545997
100	0.0016895291746565392	0.0006759003494018343
101	0.0029269163495894133	0.0016536134831775459
102	0.0014538902175565529	0.0014218217512586761
103	0.0030660612159866384	0.0031287028328412583
104	0.0014445750149267068	0.0007326458772232416
