component_id	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
Comp_1	0.6785414113277776	0.05625541847729256	0.6718243203942798	0.6184324694929483	0.5823189147917239	0.707789047058649	0.04190039637478188	0.6737137643244241	0.6133666976169869	0.49980101852575926	0.715362481069604	0.048112523499417	0.687754926108599	0.627767807461587	0.5834225084078819
Comp_2	0.03315390991105749	0.8861445545595587	0.020048040967288013	0.008786076295590072	0.009832081924239892	0.010900188150059591	0.8325118199367212	0.011797531663111002	0.006196093464040619	0.009287146437071571	0.014555728464976204	0.8885396325830046	0.011879902438788626	0.011069962062679793	0.016996788739136806
Comp_3	0.000233609552949183	4.317681682819807e-05	0.11433077028815979	0.33274572625247284	0.45481344821464237	0.0019777022346515634	6.798990361881638e-07	0.10838752266515111	0.34641734764940585	0.4855438364343491	0.003346400405135566	2.5008703447496154e-05	0.10504861352499309	0.33294260860139113	0.4608426816885451
Comp_4	0.4370608134151589	0.030162054499438536	0.02206644504177357	0.02059340589295267	0.00816958238110588	0.015302817575494742	5.742213260544112e-06	0.007039295778790735	0.005695855802155301	0.31002081161513495	0.021682325511298478	0.005090779393456024	0.016559936416723403	0.003162900882772428	0.002798846324457816
Comp_5	0.020141775356423926	1.0692134922065536e-07	0.17848538117583934	0.08047901316002329	0.030635825505338495	0.21923882487434224	2.3666663753242628e-08	0.1968338144385794	0.0926752113467378	0.11501993800770641	0.1722137409588443	2.4922970749036177e-06	0.14905239079957228	0.05172997499503615	1.9964410224409726e-06
Comp_6	0.007614522181082904	0.027195866487129915	0.0042474325968938085	0.009289761228226563	0.006706762444433165	0.012087236702394293	0.2924322416476998	0.020962001707139834	0.011015940611553516	0.008730833857105982	0.013589109959024575	0.06111101876380178	0.008751314922072453	0.0019422069629480563	0.006889076668102155
