component_id,rank,mz,weight
Comp_1,1,39,0.5975376824028342
Comp_1,2,27,0.5657586024052822
Comp_1,3,53,0.4629920020562957
Comp_1,4,29,0.3967414156631767
Comp_1,5,52,0.38783231954200154
Comp_1,6,41,0.3875246627687096
Comp_1,7,77,0.37690555238068657
Comp_1,8,35,0.3745352693552571
Comp_1,9,249,0.3562962358917404
Comp_1,10,43,0.3427918931543595
Comp_1,11,61,0.32245795292002577
Comp_1,12,265,0.32205850030696875
Comp_1,13,163,0.3212838195365573
Comp_1,14,146,0.3182056994551195
Comp_1,15,15,0.3098871936960449
Comp_1,16,249,0.30601154545522385
Comp_1,17,55,0.30195640119468425
Comp_1,18,28,0.2938772549319983
Comp_1,19,66,0.29032530388451294
Comp_1,20,309,0.28621121864592003
Comp_2,1,16,0.9886375107480361
Comp_2,2,1,0.9543925224323697
Comp_2,3,17,0.8261925665108429
Comp_2,4,25,0.8069428338589814
Comp_2,5,24,0.6994445643218807
Comp_2,6,60,0.6496210563321646
Comp_2,7,13,0.6293503518154049
Comp_2,8,77,0.627527831102461
Comp_2,9,76,0.6176858735150884
Comp_2,10,19,0.6137580750322619
Comp_2,11,26,0.5951066198202638
Comp_2,12,12,0.5694087159307016
Comp_2,13,49,0.5177188542765977
Comp_2,14,61,0.5076133881079912
Comp_2,15,48,0.49613044143382873
Comp_2,16,36,0.464228542797973
Comp_2,17,137,0.4498480609405048
Comp_2,18,37,0.4335340217356753
Comp_2,19,41,0.4260355630621496
Comp_2,20,73,0.40301899874592667
Comp_3,1,115,0.5247247476336357
Comp_3,2,77,0.5201508100142442
Comp_3,3,53,0.4993367155136886
Comp_3,4,52,0.47857067009854465
Comp_3,5,65,0.47651009230877345
Comp_3,6,39,0.47115936921696755
Comp_3,7,128,0.45459266383836594
Comp_3,8,66,0.43600419314228817
Comp_3,9,165,0.43105524526829747
Comp_3,10,51,0.4211180240445857
Comp_3,11,127,0.4136928119190183
Comp_3,12,91,0.4079002319548334
Comp_3,13,152,0.3939999482233454
Comp_3,14,153,0.3910547351660776
Comp_3,15,78,0.38945403843922527
Comp_3,16,102,0.3725879043331597
Comp_3,17,178,0.3688995937981061
Comp_3,18,116,0.3589720334383023
Comp_3,19,141,0.357553851330353
Comp_3,20,249,0.3459312709497641
Comp_4,1,115,0.3527410845537401
Comp_4,2,77,0.3474579391658495
Comp_4,3,65,0.3140522508487493
Comp_4,4,128,0.3069992345379889
Comp_4,5,53,0.296151175309629
Comp_4,6,127,0.2856812758247248
Comp_4,7,165,0.283013326428143
Comp_4,8,66,0.2706609145730637
Comp_4,9,91,0.26657538501837674
Comp_4,10,39,0.2639886014090863
Comp_4,11,449,0.2613626418848174
Comp_4,12,152,0.2575962430729335
Comp_4,13,249,0.2553872814189711
Comp_4,14,51,0.2543804895304497
Comp_4,15,102,0.25269261990385394
Comp_4,16,249,0.24991998708687696
Comp_4,17,78,0.24822391896800827
Comp_4,18,153,0.2480858116970654
Comp_4,19,375,0.23794591745190063
Comp_4,20,116,0.23787313349920383
Comp_5,1,115,0.336767579138067
Comp_5,2,77,0.3261861303254586
Comp_5,3,53,0.3228368014288764
Comp_5,4,65,0.3014765415733691
Comp_5,5,128,0.295403643912881
Comp_5,6,97,0.2782910943353777
Comp_5,7,66,0.26471972280987116
Comp_5,8,127,0.2638945780281448
Comp_5,9,245,0.2636043919928745
Comp_5,10,91,0.2613901716211515
Comp_5,11,78,0.26127345772231203
Comp_5,12,165,0.25730517182676016
Comp_5,13,51,0.25547766181412895
Comp_5,14,85,0.2507660509354248
Comp_5,15,101,0.25011494228704634
Comp_5,16,291,0.24789046202775886
Comp_5,17,133,0.24314416481456114
Comp_5,18,39,0.24019215989662415
Comp_5,19,52,0.23652325741157518
Comp_5,20,152,0.23556790560354673
