Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
0	0.022345145894790124	0.006422393473469495	0.003907776632089253	0.012452459950257627
1	1.3021682398587688	0.652544462470737	0.1977227827985437	0.2044315218945274
2	0.015620596175996865	0.007009770772542324	0.0022937679704781353	0.00453013969590037
3	0.0023097981809268925	0.0014065404962520292	0.0005181182955067494	0.010324922461351178
4	4.8539858151742934e-24	2.989561877852891e-49	0.0008486336103421886	0.012956713562141177
5	0.002335420062739481	0.0010282956042680074	0.0007081047024342701	0.010061125137530241
6	0.0033532506116852726	0.0009748064263201847	3.6346918404068904e-25	6.682941600399668e-300
7	0.009888768192551857	0.002759506882890666	1.9487053910433518e-09	2.0326296655220017e-07
8	0.0022909695055102243	0.0012795354953931029	3.58373722405502e-31	0.0022192690307401507
9	0.0010467582350066913	8.958805953680593e-05	0.0007415084864169297	2.947790846834578e-258
10	0.0010402466734359247	0.0006913432236408666	0.00018127228383655973	3.262477312814195e-233
11	0.003007401816685688	0.001560822590257415	0.0005438682029189011	4.31182920454568e-283
12	0.5479245152821342	0.11007069561274614	0.05689908548077152	0.004733459372175869
13	0.6113582038590727	0.21378956915791616	0.07695381537973048	0.035221595771899664
14	0.155079079373001	0.09668837712483362	0.021318162825596832	0.040518068275242174
15	0.030274461684969525	0.03835329827123024	0.013160274915813258	0.010481637119559304
16	1.610385719246647	0.3192892185853007	0.05930804952675075	0.03219319157160955
17	1.012622290104453	0.35902651606059777	0.06294019095968105	0.14791179491934092
18	0.0762510964300755	0.016797688870436117	0.0028663601649907677	7.497179484356397e-05
19	0.6342039842869283	0.05563565465614703	7.134024763636113e-08	0.019639638862812423
20	0.006071621067522795	0.0015924099669360357	0.0008518142736087801	1.27669644680761e-22
21	0.0038622935327640574	0.0010185488387658879	0.0013546750495322722	9.110572509985501e-42
22	0.005841770441975835	0.0012861614830776546	0.0013518479562608003	8.18800546666112e-49
23	0.006054300031456721	0.0014615436972403263	0.0010672176828577019	0.008767581116884802
24	0.8614883410358356	0.11130553468063727	0.09849568599361837	0.001137490891398791
25	1.0965121885135558	0.2752759938235893	0.21633763061182834	0.03073635680615737
26	0.5588154731137389	0.07493713118076267	0.05316836943861184	0.22198617531004064
27	0.07085685054476513	0.06162264617955062	0.03291096871931343	0.034723925482367926
28	0.19470744192621342	4.827882272178715e-21	2.9511807770967195e-28	0.005809471850077094
29	0.1567549742796144	0.016390089719314018	0.012690156230185561	0.013489547626278261
30	0.06973713520361671	0.0023326497854376234	2.2414172962410385e-09	0.007681878384815479
31	0.0477310081957514	0.013859854427294156	0.00587653598396753	0.007014997155250735
32	0.20323467432472328	0.059903863617748195	7.742771515908071e-08	0.03513071147461761
33	0.07411141107295932	0.04485749559719573	1.153705543605311e-15	0.049788029074496046
34	0.01804893436765531	0.009994673055450537	1.4815033197341358e-15	0.010561414838372692
35	0.10768218920630594	0.4188449087959703	1.317805395519506e-08	0.05471130415669124
36	0.37090074548535823	0.06720466526567329	0.06634679424998821	0.016420425527874247
37	0.2331531053894255	0.2414533120394414	0.029587825850342524	0.04051602169370619
38	0.15037279042677262	0.07564952631917544	0.05670293673645978	0.0587613432246865
39	0.08315817203449033	0.04877308117493934	0.05544934764100668	0.03376543100461046
40	0.2382230874167163	0.07699978157186123	0.04995526114547393	0.01819085964151277
41	0.2742172137095176	0.1743011649926635	0.1708179310505937	0.0666359487353935
42	0.16083853842086085	0.0705870845383703	0.03315206204980371	0.10198759328500275
43	0.11601461225258727	0.1597660131986052	0.06185953905881486	0.030651348911058078
44	0.06825805504382339	0.03744248530757644	0.013677264608747521	0.011367723715634319
45	0.13666985557917033	0.11640616530953454	0.14720647016977798	0.047743889078133296
46	0.029077306853003353	0.02179710190327686	0.016053021080870204	3.3424026471435687e-10
47	0.04482518401141984	0.01860204748625978	0.007988241914621193	0.015239293006040912
48	0.43825841431994017	0.056181611648646636	0.07300437887690367	0.0030388764223511135
49	0.4699535487217604	0.12467224029213632	0.18752658256623952	0.029915590388035294
50	0.1859264390554551	0.03885541478253069	0.053633867303816925	0.06545182988655623
51	0.08158794996978688	0.07199489214621758	0.0617550064351987	0.03055486044681015
52	0.11287018127546551	0.03495442792894697	0.03589205700950093	0.020023603169290926
53	0.09920045050577246	0.07424099058719934	0.08096671700175304	0.017624229508590866
54	0.0348588342581091	0.025568455191457916	0.023684998603847287	0.012725799705145136
55	0.03466424737009782	0.04172499378485466	0.06097295645973457	0.027585041068882564
56	0.037391158027432224	0.01574544033100573	0.008056892639093888	0.009235198322447236
57	0.0406725661804973	0.035478693881338355	0.02137839633703249	0.0017375957299684826
58	0.02931455276742373	0.059005628205744794	0.016977169234826082	0.021330336832736184
59	0.1301986024825241	0.17764746255983377	0.02631392532092791	0.0006878887602817954
60	0.7449004964110948	1.7419793674670914e-08	0.06544261556235921	0.025044633480521376
61	0.4335317358793296	0.04029806434797424	0.07265152289342026	0.07717733906993884
62	0.20188662097890184	0.043367970143076626	0.07269495904113474	0.039880138872354504
63	0.17115656662144973	0.04250457675448713	0.05452134202228522	0.028620629208849818
64	0.09183480898872763	0.06499130848300491	0.015175244860073923	0.03270117652252605
65	0.12328404972336862	0.08186000816620852	0.11803929028363849	0.03024115889286202
66	0.0596986344404074	0.03548561208414381	0.03914378099722211	0.036950511126879144
67	0.05302423881752067	0.0859416996996425	0.0850094744280955	0.013462102674848613
68	0.06773782454097475	0.020409927272505846	0.023645172019110726	0.012675581558175688
69	0.09758867741885997	0.06485831566783389	0.09216229979146	0.001718640507839738
70	0.03541913259900624	0.019063001798780826	0.02039844157755486	3.2752042603484326e-05
71	0.029026964182392128	0.07709714217320882	0.05047903818149644	0.021045544272223864
72	0.2744920414930755	0.024057247424210948	0.05960334615316607	0.004503792012161835
73	0.29639426826863485	0.06239946941567374	0.13166841637373028	0.01614694848037993
74	0.11782050033997879	0.02259048006500444	0.04582622055240773	0.0405107312594041
75	0.07426333733164905	0.05819210079492392	0.04638601329550317	0.037380886689949995
76	0.6449162123614463	4.0228567154844327e-53	2.138947244541542e-42	0.0025319856589197626
77	0.671386483518007	0.05167729968661509	0.05689963078378581	0.09545300899011165
78	0.20195969723149312	0.01572933294295042	0.015915302276325625	0.026982211295275227
79	0.24301964269254261	0.0386575307060343	0.03319916244988645	0.040727154633687146
