component_id,rank,mz,weight
Comp_1,1,16,1.5785591207774126
Comp_1,2,1,1.3041870805600304
Comp_1,3,25,1.0729102948481024
Comp_1,4,17,1.0143902265932543
Comp_1,5,24,0.8339852535724113
Comp_1,6,60,0.7330949868006076
Comp_1,7,77,0.6712855062940095
Comp_1,8,76,0.6348771802250428
Comp_1,9,19,0.620668410450738
Comp_1,10,13,0.6040076676191627
Comp_1,11,26,0.570560213600472
Comp_1,12,12,0.5329799584710604
Comp_1,13,49,0.4608178417631947
Comp_1,14,61,0.4338098772123209
Comp_1,15,48,0.42503330212541307
Comp_1,16,36,0.3653771529776742
Comp_1,17,137,0.3309209083530943
Comp_1,18,73,0.28906302726184496
Comp_1,19,41,0.27501732935138684
Comp_1,20,72,0.26682350673632893
Comp_2,1,27,0.5596948153063641
Comp_2,2,1,0.5485377275297273
Comp_2,3,41,0.3922167131223175
Comp_2,4,35,0.3247597885300347
Comp_2,5,29,0.323639660106694
Comp_2,6,43,0.3230551515310016
Comp_2,7,17,0.2960831750056146
Comp_2,8,39,0.2786499520560686
Comp_2,9,55,0.26722937388938495
Comp_2,10,16,0.2505420029848444
Comp_2,11,25,0.23655504664881083
Comp_2,12,37,0.19668109717879864
Comp_2,13,57,0.19630241911287324
Comp_2,14,53,0.18361639239796224
Comp_2,15,13,0.17896779068332624
Comp_2,16,77,0.16752172429362314
Comp_2,17,28,0.1567309203876853
Comp_2,18,41,0.15607190552481476
Comp_2,19,42,0.14879825173789965
Comp_2,20,59,0.14542182267953127
Comp_3,1,27,0.23570515259243158
Comp_3,2,41,0.20727899502313402
Comp_3,3,39,0.19490095054144776
Comp_3,4,55,0.17140908260188048
Comp_3,5,43,0.16640119024468852
Comp_3,6,77,0.16341834774126504
Comp_3,7,53,0.15397624142762717
Comp_3,8,91,0.14360320999121162
Comp_3,9,29,0.14220490925297335
Comp_3,10,25,0.14170448712678538
Comp_3,11,51,0.13971325712129642
Comp_3,12,65,0.13356673356078222
Comp_3,13,115,0.1328021087665229
Comp_3,14,49,0.13041375640614933
Comp_3,15,63,0.12220594100423385
Comp_3,16,41,0.116116265129728
Comp_3,17,128,0.11238707487776779
Comp_3,18,79,0.10659721899408142
Comp_3,19,1,0.10528808945095272
Comp_3,20,45,0.10307784757638272
Comp_4,1,23,0.38592794212479736
Comp_4,2,35,0.095628883207326
Comp_4,3,1,0.09468049390889789
Comp_4,4,80,0.0932686964288023
Comp_4,5,16,0.08976410551234959
Comp_4,6,26,0.07979955323621969
Comp_4,7,17,0.07890409612213509
Comp_4,8,64,0.0649564719782967
Comp_4,9,24,0.0626442569852845
Comp_4,10,27,0.06205407181026515
Comp_4,11,39,0.0587544935076212
Comp_4,12,42,0.05226339027814717
Comp_4,13,41,0.04730328155530877
Comp_4,14,97,0.04601412630255843
Comp_4,15,37,0.04544750087197835
Comp_4,16,33,0.04538852370135686
Comp_4,17,139,0.04138768944574119
Comp_4,18,32,0.04097046449690474
Comp_4,19,59,0.03924434365679963
Comp_4,20,43,0.0362553601710771
Comp_5,1,16,0.23262470036894314
Comp_5,2,24,0.19688540343608377
Comp_5,3,25,0.1339383653271269
Comp_5,4,19,0.11858331496970748
Comp_5,5,12,0.11528012718742084
Comp_5,6,48,0.08827859818370398
Comp_5,7,60,0.0691652729329071
Comp_5,8,35,0.06812580454453776
Comp_5,9,27,0.06114718191898745
Comp_5,10,13,0.060698184224011374
Comp_5,11,76,0.06033880897670063
Comp_5,12,72,0.05730094902115633
Comp_5,13,119,0.05319590931036526
Comp_5,14,73,0.04959542762305844
Comp_5,15,108,0.04495121939751791
Comp_5,16,23,0.042929447530709465
Comp_5,17,37,0.04258097260825621
Comp_5,18,49,0.04254665657528611
Comp_5,19,36,0.040695392256480674
Comp_5,20,28,0.03926127307649125
Comp_6,1,25,0.11173007884463992
Comp_6,2,23,0.08799267919086691
Comp_6,3,35,0.08726452904589589
Comp_6,4,1,0.08705616691547802
Comp_6,5,24,0.07518488965811378
Comp_6,6,37,0.07407656979660347
Comp_6,7,49,0.06766358480445338
Comp_6,8,185,0.05920183615194879
Comp_6,9,119,0.05353493111901467
Comp_6,10,57,0.0526255615068248
Comp_6,11,147,0.049276251277555035
Comp_6,12,39,0.04840871587377003
Comp_6,13,55,0.046007098619868535
Comp_6,14,135,0.04558831891245942
Comp_6,15,43,0.04456274954255565
Comp_6,16,16,0.04410198365148137
Comp_6,17,545,0.043507308795205535
Comp_6,18,41,0.04229221337376675
Comp_6,19,155,0.042196067889237326
Comp_6,20,69,0.042008145908689204
