Mass (u)	Comp_1	Comp_2	Comp_3
0	0.0	0.0	0.0
1	0.09616037012598709	0.09906533776687045	0.0018635158391525181
2	0.029510862712892067	0.020049336977355437	0.00026308251081451567
3	0.016522729425861273	0.008613064221193241	0.001994024911256097
4	0.00022745602348670004	0.000648347393106488	6.191138913915564e-34
5	0.0	0.0	0.0
6	3.3623978008036357e-07	1.761585543493146e-172	0.0026188824548024803
7	0.0009825577631117606	0.0031158903726456566	0.006947587506689068
8	0.0	0.0	0.0
9	2.2840517759807924e-19	6.942464685446057e-95	0.0003601014916072337
10	0.0020923394072380973	0.00042314875339832347	0.00020496243060997259
11	0.004705831472549705	5.882297463115871e-32	2.0849262976843056e-36
12	0.03485728837116193	0.04549654817777347	0.003563537603821681
13	0.04633643586655582	0.041879292785194075	0.0032492578573703394
14	0.07084780619464139	0.05434788986954381	0.0014658205894487121
15	0.12376322014672049	0.06473862929316461	0.01445223472905742
16	0.01706122088925546	0.014154059811315732	0.002735759620895294
17	0.010081997833851785	0.010836920260737348	0.0026721707999836195
18	0.027193333704102363	0.007729871967149106	0.03227635323835816
19	0.06233896294523689	0.007615089344554615	0.01333303747546606
20	0.0018694877394201544	9.240412779331127e-175	0.001376851636556286
21	0.003042576821767824	0.00196185193627842	0.0005023264409498976
22	0.0012202805821633555	1.152403901287305e-182	1.5284129185739854e-15
23	0.04415976005669978	0.02755288284703131	0.19852230710290444
24	0.012863771487262901	0.014389291498515613	0.016745424511382768
25	0.024449572218217863	0.036704602840258095	0.005912529733269974
26	0.11038446385413009	0.0932095944699827	0.008158852534765398
27	0.7190041382438654	0.2161388414057017	0.0010283226193074928
28	0.19382482356216002	0.19500672687806464	1.336276721313577e-10
29	0.4165503565265426	0.09182148875835187	0.008993553103350548
30	0.07603656964437579	0.039917818972139134	0.01664203222053704
31	0.1119470231421411	0.019748163007429865	0.09012395394839343
32	0.020404457401782206	0.006755456635037743	0.011133566853954701
33	0.012570813649736669	0.0035692773191073894	0.006565493457871679
34	0.00635110940980472	0.0029914767031859607	0.0021314024373683513
35	0.007281460762283081	0.0005422295840837054	0.0010262084286343518
36	0.01014842764353974	0.020776664231649155	0.002011100699545058
37	0.050948502337926395	0.08349219507043305	0.009422528770454843
