Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
701	0.22621683878408202	0.2333521842260091	0.26704230165686205	0.2642264069366905	0.2490797448533812	0.28864482270314473	0.20403376267373416	0.2473762725285553	0.2494126894066523	0.229420278573514	0.2630111050172068	0.2169027163830859	0.2538886488604669	0.28385376662396405	0.24933955679445186
702	0.22671774543072465	0.18950195308482853	0.2541141605855438	0.22682962769117018	0.21471469259566334	0.23378026349502987	0.17798285148266738	0.24752946185532285	0.24324595559100584	0.22639503756349047	0.2587001603100899	0.18115271365755725	0.26070762266699193	0.24578057134996129	0.2416362186248928
703	0.25158610255184194	0.2713101227359166	0.26344977216021537	0.23842626304879866	0.21605938718326606	0.2588268193753706	0.2905367154783619	0.22677862981445604	0.22964255691549723	0.21248907940442066	0.25519036856437344	0.2358969621554371	0.22659657423779678	0.22990060087458325	0.20909831875665263
704	0.26994982153404795	0.20120638923259596	0.2372321207982519	0.23985722875288476	0.23427244418082768	0.2579561509842823	0.20701226378384704	0.2479399704188526	0.22698417430454937	0.2436388366146336	0.24009433920051598	0.16402962987836772	0.22659346163068939	0.21740020822561373	0.2319721280205629
705	0.2178763188113805	0.17365668531919917	0.24540956741303716	0.25360129297370315	0.24438666204887674	0.22739602486829716	0.16976064369571572	0.25862700237154435	0.2497329712786756	0.22799032022876412	0.24395993777242697	0.18783624055365614	0.227228754225434	0.23529766109360273	0.24276312474449577
706	0.22715628384631184	0.15125351995397984	0.2293057815324894	0.22257908193906928	0.22987921173517653	0.24443338704886494	0.16197233622667487	0.23082650211469732	0.2303456442417241	0.2093814329476617	0.22735487104283053	0.16485871025564652	0.23479828428862556	0.22450614374849717	0.23162933428931712
707	0.22274128040516458	0.17887434760910992	0.24274127820790278	0.2201156389533848	0.22875988254232815	0.2557610592740108	0.21416101349544708	0.23262140475505017	0.23939101192320525	0.22150847675586696	0.24691879699032515	0.1738843832699771	0.22067001195123553	0.2137475137953674	0.2316964478713783
708	0.18066971916553815	0.0976449438202645	0.2206776413468011	0.18780478901741698	0.1758313330730356	0.19699310565838674	0.11856545468972424	0.22191489301114542	0.19241375857555665	0.23179275207393524	0.22039557352140787	0.13828672946428378	0.19317022081416638	0.1844179129174842	0.17456068565248775
709	0.2027002492796449	0.11972626744288757	0.18509473379149669	0.18733087190157027	0.17499034770723113	0.23145559286617465	0.16552030298782233	0.21594830133126452	0.19792560500148748	0.17746058008098045	0.2071810859434285	0.13439132914774998	0.18908944963314456	0.17099994596515491	0.1684673363458458
710	0.1736841219803992	0.07745823535057562	0.16224039315852018	0.16091606905180228	0.14245592834878731	0.14973952985777128	0.10158938390956881	0.17431722625548085	0.15516996474553202	0.27671477833944214	0.15477240709741574	0.09858723640013278	0.1576629067895976	0.13758498539650174	0.13831221183860268
711	0.21480399698290095	0.13875658556528753	0.19832887545094754	0.16288386034731608	0.1719366199325053	0.20157496227598287	0.14096478074996463	0.18713270377157454	0.1808526389058401	0.21738851049744884	0.18598750827887445	0.09119928870006827	0.18089002550952188	0.17094144251361715	0.17406602958071238
712	0.1928090549368808	0.1428515701186463	0.19711204068375107	0.19132928432221	0.1909667972862035	0.20349388230042623	0.08485528772326752	0.19570157182307943	0.19678580341811747	0.2080688138448774	0.23111647999652513	0.15405853329130514	0.19551290390739104	0.2212022209392752	0.20231092163793368
713	0.23654777775816122	0.1408776376556152	0.23223253835202512	0.19639028285357057	0.2048329466993421	0.22496803088234	0.16294946296628876	0.2306341611569059	0.2013857351511248	0.17179494778816595	0.22754309138748907	0.12678855857632657	0.2335349287225519	0.2065081524308963	0.21071331915362637
714	0.26374793298932553	0.04519753069323334	0.28643115717471385	0.2924448266508622	0.29082897241430855	0.22464377507239708	0.05076303877124746	0.27800556620855166	0.2896199409056184	0.24694838890977863	0.2973131916572092	0.02572661750917715	0.26963910937471425	0.28110676380959376	0.28593204630349417
715	0.290264477736928	0.046239343266528406	0.26424524423238144	0.21249536521489273	0.19141485818265305	0.3302984693898438	0.05474228623569546	0.27837651056517904	0.22316374460159136	0.16040500308769973	0.25091073866760377	0.055486659817091874	0.29863659610449095	0.2598878867973909	0.22625270371871095
716	0.2020998333408268	0.07917131699075981	0.20859106950787448	0.20617571869749324	0.2059354661869416	0.20690732741485726	0.08936839508655399	0.2295272115722246	0.21470505620052405	0.1736560169765272	0.23286952447927742	0.08672725990670756	0.21183901350547066	0.22134632668298682	0.2152197989354339
717	0.19912477260487618	0.08574585250083029	0.1961182120219799	0.16348573104557776	0.14739314213464608	0.23667783471223708	0.12147023775519308	0.19051249797057576	0.15978157972925172	0.12952053797772983	0.1917939875395281	0.07044682044319638	0.21756647488597902	0.18737214397720026	0.17134797375394506
718	0.23100885328603554	0.13347147368370174	0.22232911129216806	0.22264448317388488	0.22679680059741592	0.23747429399969225	0.18220152903433223	0.2277315471117865	0.23155839730214214	0.23471707945032297	0.22565327150273876	0.1626478440163413	0.22168080837775114	0.22955221806153311	0.2169525762237016
719	0.29239915563286356	0.23010615642279947	0.2341831863428086	0.25037130080730724	0.2378137781812663	0.2666625659679246	0.2678802687394963	0.2674557023499187	0.21988857615405769	0.2450098058218725	0.2850276955399876	0.24976435598325994	0.2470802581503802	0.26292109834976446	0.23757202917646836
720	0.24927889853042715	0.19166328177951986	0.24399106638333168	0.24167595315647022	0.24760342799212776	0.24854827459107215	0.22947239183948667	0.25128719247363507	0.2706592527432675	0.27207693182103126	0.2573883298276068	0.27273938002799497	0.22638052396889272	0.23065796934450353	0.25529662483096105
721	0.1570678664808955	0.20156292542272092	0.17694123713703694	0.17128995261471425	0.18155625526318397	0.1815935533438197	0.25398708305710455	0.19525373383463432	0.1593430697579893	0.18240158649976349	0.182149270051687	0.14230538815338484	0.20303015182087567	0.17924810447233375	0.1823973330835885
722	0.16643364429905824	0.111993716160314	0.1857276476560204	0.20825817242308975	0.21460987643156357	0.14089750352504635	0.09159824737626242	0.1742711617986932	0.20531489726900257	0.1964148936241917	0.17529822658129318	0.07512687660695008	0.16525191566396302	0.19416109796647998	0.20711984740874465
