Mass (u)	log2FC	p_value	mean_500	mean_15000	std_500	std_15000	n_500	n_15000	t_statistic	q_value	significant
0	-0.3284817607669403	0.0435460302782166	0.006570593621815633	0.0052326506785008	0.0005520892676990665	0.00015729483333823998	3	3	4.036838438958692	0.04642775287015741	True
1	0.11335779439090748	0.07123390382497068	0.3716681065093543	0.40204937514946465	0.004597146102012401	0.015968433776002905	3	3	-3.1667513118270567	0.07539354784394707	False
2	-0.009026543501701283	0.8602306011941317	0.004504555941743667	0.004476460166945966	0.00019755610951061378	0.00016714694957636777	3	3	0.18804975753938385	0.8622126993535653	False
3	0.6383079875362558	0.4036213041090826	0.0008931711261875	0.0013902232366083667	0.0007864464915361839	0.0004147214557851001	3	3	-0.9683086649229843	0.4150715538710424	False
4	1.0983685209628828	0.37339895474925705	0.0002822989500592	0.0006044372430235001	0.0004889561244258835	0.00014660648752526433	3	3	-1.0930486168097822	0.38490176615148536	False
5	0.06861928406742102	0.9361647532029806	0.0008931711261875	0.0009366797688619668	0.0007864464915361839	0.0003486944118425985	3	3	-0.08759818422408261	0.9372420429074719	False
6	-1.39323046651492	0.34738782477418034	0.0009110115150209333	0.0003468323731969667	0.0007973401338168046	0.00030074869967558737	3	3	1.1466984123246944	0.35921163095969993	False
7	-0.7963467586524511	0.003310316060278348	0.002772633936721667	0.0015964975698597335	0.00014072010684006278	0.00022898460235632793	3	3	7.579510713948759	0.004630184843154603	True
8	-0.7330628941384827	0.5600141621730206	0.0006993703427100668	0.00042075884166220003	0.0006385196023471607	0.0003855783085457431	3	3	0.6469559721495748	0.564556571367935	False
9	0.6076833723295884	0.7033374963150136	0.0002851764626139	0.0004345549015733	0.0004939401223700413	0.0003908085055131711	3	3	-0.41078350125161056	0.7065861683534201	False
10	1.3548054727523875	0.25593706006509304	0.0002851764626139	0.0007293749707455999	0.0004939401223700413	0.0001909065020114585	3	3	-1.4528861229371635	0.26507766935313204	False
11	0.5745702696194918	0.4316849199424832	0.0008203718137490333	0.0012217254860828334	0.0007107630574423488	0.00010671457695721296	3	3	-0.9672135785490944	0.4367045120348377	False
12	-0.7204257001212642	0.00016484242239351175	0.15379754715580043	0.09334255053987596	0.002570719752223685	0.004429690586404656	3	3	20.44501352043692	0.00046991934508485393	True
13	-0.24423234925193615	0.01890332401518227	0.17269174638099696	0.14579758096298315	0.0005581171643974049	0.006601367352845448	3	3	7.031340933696778	0.02111747955799369	True
14	0.2808660057766645	0.007380208591028367	0.04471198915114669	0.05432166637267463	0.00127157402192831	0.0023234185832685878	3	3	-6.284202794294565	0.00909165597260735	True
15	1.3224124919445495	0.0004853768183585409	0.008878934946208034	0.0222047917106255	0.00024929115753955395	0.0008011854211558116	3	3	-27.507797457275327	0.0010150909422402179	True
16	-0.9930693699538994	2.1150132880914967e-05	0.45228458035494956	0.22723127925946907	0.00423527424729256	0.007838982409256078	3	3	43.74926804271162	0.0001239980242007715	True
17	-0.4158997243788759	0.0015955653418591258	0.2880405123589838	0.21590131249693104	0.002706083437080659	0.0077022772162391225	3	3	15.305182474985463	0.0025517313371644108	True
18	-0.9088172289173	0.0006025218285232915	0.021378540452914	0.011386671814644434	0.0006713079584117045	0.00021495191106034244	3	3	24.552227194087013	0.0011753228493615777	True
19	-1.8477316544081357	1.7873916197539614e-06	0.17797693304758902	0.04944712733814766	0.003022897264587039	0.002075028930831349	3	3	60.71637468286467	3.6876894549872474e-05	True
20	-0.5001607742189538	0.11790603621203916	0.0016982989936351665	0.0012007448868787665	0.0003456392545742276	0.00023674398369196288	3	3	2.057049786947431	0.12358825482466755	False
21	0.12823064531708347	0.745351073059332	0.0010782814618264	0.0011785103820145667	0.00039331759063798027	0.00030312490198453903	3	3	-0.34960024739666584	0.7479301425162848	False
22	-0.47609998757459093	0.2335963946079454	0.0016267329797697665	0.0011694883068001998	0.0003784273330465025	0.0004181727107717681	3	3	1.404248800969578	0.2425165433280579	False
23	-0.3893481679791144	0.10053128999436164	0.0019070757015229667	0.0014560035986193002	0.0002903838758263095	0.0002053828449253417	3	3	2.196609753752319	0.10563070325494521	False
24	-0.9383612288858268	2.5502040958047766e-05	0.24141005596733045	0.12597387247413314	0.004546868397625833	0.006146148346518573	3	3	26.152516267456832	0.00013953946939309155	True
25	-0.29173822121641163	0.014524634750173541	0.3086934315664227	0.2521769763148021	0.001962314464466868	0.012627543297561453	3	3	7.660111643495438	0.016592960051281514	True
26	-0.9617235324908278	0.0005602655708674561	0.16182145085780972	0.08308611637503456	0.005941003654399452	0.002290538673776036	3	3	21.417916821363804	0.00112831260799696	True
27	1.007518065577424	4.903820030458059e-05	0.020917016838117267	0.0420526052030998	0.0009053696277033621	0.0012917292927493247	3	3	-23.207438130671278	0.00021059039246518814	True
28	-2.5039744847224443	4.54273468148393e-06	0.05456106342546993	0.009618589587838601	0.00013068721947455	0.00040274549985563435	3	3	183.84335666533613	5.921277014838731e-05	True
29	-1.1959815577057682	1.2753031030593635e-06	0.04422539463975143	0.019303914821146403	0.00039763051103613306	0.0005593123226308355	3	3	62.90012771519312	3.362162726247413e-05	True
30	-2.2025166136435943	0.00018132828232396875	0.01968427560693613	0.0042765727321322665	0.0004492872448671523	8.466287969626445e-05	3	3	58.371049698329436	0.0005024063873307414	True
31	-0.38324129754876696	7.258722600838723e-05	0.013571036268191833	0.010405091029741766	0.0001319229640930909	0.00020265407186682212	3	3	22.67716625313945	0.00027209907519133665	True
