Dose,OI_mean,OI_std,OI_count,AOI_neg_mean,AOI_neg_std,AOI_neg_count,H_Loss_mean,H_Loss_std,H_Loss_count,Oxide_Form_mean,Oxide_Form_std,Oxide_Form_count,Al_C_Bond_mean,Al_C_Bond_std,Al_C_Bond_count,Carbonyl_mean,Carbonyl_std,Carbonyl_count
500,0.37370058189801697,0.0010869359809010924,3,0.07098601538732187,0.00034387385994151363,3,0.7617036331668473,0.001795911386986352,3,0.7403250927139334,0.0015719853402910758,3,0.043918486635862695,0.0021350125835304552,3,0.26844493247583273,0.0005790999086831557,3
2000,0.30621492985010007,0.005477011796873578,3,0.21558606407194914,0.008482234774240633,3,0.5844578693584802,0.025322601958896233,3,0.569736189860659,0.024522108579020256,3,0.11466157240123376,0.005426080906945021,3,0.16688456849108554,0.0008459762362345104,3
5000,0.3036873378240104,0.0015351638348321877,3,0.20439825447230212,0.002089902925362158,3,0.5457479410043816,0.0039344967886416156,3,0.5323169615593971,0.003829375716133631,3,0.12558258067234596,0.0014781893670425198,3,0.17701102941094557,0.0007730455621591955,3
10000,0.3122651100568418,0.0031435960070357897,3,0.19297811641976925,0.0026170216462084585,3,0.491826279527338,0.005739234878051518,3,0.47929324897985076,0.0054886630739105465,3,0.13980455824518742,0.001742788252039499,3,0.19659201853609587,0.0009566679492015479,3
15000,0.30805620894427893,0.01226119217080619,3,0.18226123546647854,0.006911818484012851,3,0.4545192635710445,0.015360410239343224,3,0.44313259175640013,0.015541237688946477,3,0.14585057852995864,0.0026373749040923323,3,0.20086946983967546,0.008649252806782649,3
