mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	6.214413728694761	5.379404070306212	7.050412319813344	6.107620455604576	4.777564719809138	5.056596868564985	5.264571516217836	5.466168711149429	5.577162518174227	4.526569508727292	7.41074116364486	4.896092044013875	5.675090310868232	5.74117866443746	5.167359628151684
1	370.3265159899244	487.7442137738231	370.9026276474379	441.4182375199748	399.62366172224233	344.7941832728062	431.162998999266	479.71858364225005	397.49459672281694	362.95819768718536	313.47134474036153	463.86777799213485	410.1618057068424	427.80767484607514	405.6209167194689
2	4.2003522068906385	6.083760113434752	4.511719038153528	5.8549746058560235	3.7967023651776053	4.447677157907233	6.007378683349507	4.213019797305932	4.857641046847838	4.19081430251968	4.340283225209375	6.1823576438013665	5.614397572121152	4.664227864561831	5.6063868173547675
3	1.1524630583444726	1.4668472284738376	1.622556221326461	0.0	0.9655722067162809	0.0	0.9631882178370195	1.3155923165533894	0.5730574116541681	1.5420692557627367	1.4801273731340436	1.298043047694035	1.2547003156677907	0.786121997592408	1.8651454590012604
4	0.8620200544666183	0.0	0.0	0.6651221933634318	0.47283549042644524	0.0	0.46535215486850146	0.9351908685007438	0.0	0.5056652368827048	0.0	0.0	0.0	0.5848494764585022	0.8616869952733441
5	1.3922692669848846	0.8753450679268291	1.4572633223472782	0.7649029562064567	0.668343189459802	0.0	0.7769927006019725	0.8129817927155079	0.5554127074909266	0.7810772070169365	1.2776566872162367	1.1448562145894683	1.2551669258113203	1.2094080733006396	1.1090697511265728
6	0.0	0.9348479448728222	1.6769011633099664	0.5668837840875243	0.49391511579661135	1.4071366891280497	0.7063763876145226	0.0	1.015836363492316	0.4875100436112824	1.3585429308666597	0.7450453022369863	0.5095886693783498	0.49134786161798616	0.0
7	3.049806169053693	1.9537583311110793	1.489046237719253	1.9898043526438447	1.7939856017109588	3.340861061634981	1.8124098830074928	1.9384609840549958	1.3270807400439313	1.6655817690683152	2.0394613300094275	2.3947226977200575	1.8697114722521035	1.5354978676100657	1.444683638487254
8	0.7974383354974006	1.4465358842714984	1.50541045431793	0.6106905048880203	0.712084856950161	1.166041942813097	1.2240113085682038	0.6359280235823518	0.7454295246637422	0.489049876704033	0.0	0.5249998605966489	0.9155779885092835	0.6877843508774124	0.0
9	0.0	0.0	0.728906573716392	0.5073072024887249	0.7452835250294275	0.0	0.0	0.0	0.0	0.0	0.9134233461016066	0.0	0.5865114984448203	0.0	0.48575011032257714
