sample	OI	AOI	H_loss_Index	Carbonyl_Index
P1_500μC-N	0.044263794153120505	0.1962408083739422	0.09293852278601338	0.031396012936663796
P1_2000μC-N	0.019751926679373703	0.6826997152775319	0.03758948064865086	0.011239775103179722
P1_5000μC-N	0.017637364677253037	0.6298104125318384	0.03173149923651252	0.009846533775412438
P1_10000μC-N	0.015094554809280413	0.6097565387587642	0.027726755891463714	0.009625012449368971
P1_15000μC-N	0.014432002006614477	0.7106311707812748	0.024963009051163273	0.008228518733279558
P2_500μC-N	0.051878229598134644	0.1996513927627827	0.0892083736760523	0.038529989658808404
P2_2000μC-N	0.017657417924032325	0.653738764588138	0.03762455905088467	0.010182513407233675
P2_5000μC-N	0.01667716026742723	0.6271352087767871	0.02893418659338783	0.010056593155040169
P2_10000μC-N	0.01508135714916241	0.7096643320383755	0.024862455854461653	0.008882598921597257
P2_15000μC-N	0.012663734775203429	0.720264565642592	0.02439713097608575	0.007507069826945629
P3_500μC-N	0.046436100806948495	0.2134958555707031	0.10196005709844486	0.03167188655849408
P3_2000μC-N	0.018223235731934413	0.6358481873073834	0.041209266390613	0.010285682110842392
P3_5000μC-N	0.017009099915723802	0.7144976386374596	0.034391345201388715	0.00968145009048766
P3_10000μC-N	0.016137786701105748	0.6212958191056472	0.02621066166443731	0.009367798431928804
P3_15000μC-N	0.014593074357006105	0.7200396146749797	0.02417373156759467	0.009135595324088292
