mass	P1_500μC-P	P1_2000μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_500μC-P	P2_2000μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_500μC-P	P3_2000μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2718.156783705864	7508.551916925584	4246.359199273664	9882.090383760096	9105.85518351161	2643.2498961561732	5407.318286753328	8835.890815240205	7869.948877331862	9037.080139767562	2126.5216946336764	6678.33025267908	4825.971643717709	8210.050574474806	9797.564977341646
2	110.13683331923981	758.7599210524685	432.73992290953106	971.1252423065118	672.7326909507715	128.1340986907683	974.2277020249508	524.9504252785266	896.5344282656677	700.401722014007	142.44461280421237	791.9519568944073	721.8110977230036	919.331630003603	1361.972240158145
3	25.79256439206126	244.4007321412703	239.87370766967825	392.914754332282	335.75637008111084	21.569449105093902	247.00968069997478	182.6683100243215	169.44297386615665	307.90342185967006	26.679799777351352	203.2922302170294	190.51301988272496	264.59900895292884	348.22429204588286
4	1.0307095813853697	0.0	0.0	0.0	0.8049210633085407	0.0	0.0	0.0	0.0	0.0	0.0	1.1373256148490476	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	2.0255349883839155	0.0	0.0	1.7565794172182883	0.0	0.0	0.0	0.0	7.996752061206299	0.0	0.0	0.0	0.7888736265389485	2.740070227455377
7	3.8705020864326403	15.482560823518734	1.525337546481944	15.275428547543859	4.213471183159185	2.6884318220620838	0.0	1.8119361469962227	5.976567571180497	91.22618373375167	2.642744653106012	0.0	2.6714316645185376	5.136174687591388	14.972616858137155
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.846340768889858
10	0.0	4.892176572416352	1.517114556955265	6.216662042693512	2.1353889186071	0.7710470393578243	0.8939003169548543	2.0776640806473017	4.015704739676145	4.814004495036317	0.0	1.7357411062881516	11.56131891174912	9.992677182706313	6.283516040055576
11	0.0	30.61634037641483	13.707442261832403	16.415493526597242	11.568915522026176	1.0189982688418158	13.768084455172534	24.344690543720873	19.683514388372274	12.037553465560302	0.0	18.767834514241976	10.614025256529974	9.925608071265964	15.302019200544121
12	466.2239015102702	910.0679641176612	816.6278308885267	860.1868847419569	1780.9023245226356	715.6214327622539	926.6780201005226	971.621727625651	1197.818261649761	2018.5067637950638	348.0481620629971	816.8533342242592	596.7465818391626	1002.1644959439425	1821.5390796921304
13	398.89148074306416	1692.8374740058314	1479.7519933576423	2181.0525923961463	2206.302222210695	459.67636769485495	1442.9937099047677	2261.7370478756907	947.7932899006516	2721.159989453113	445.14502361127273	1947.0897008236946	1798.5964410276517	2060.2767987551197	2174.348620840217
14	834.4933844563044	3637.2194305287994	2971.5405195440367	4131.346052541652	5293.661106186454	747.6684727953731	2354.3521868563125	3735.5058788229517	4234.211403203437	6016.851991198355	711.3801848130902	2633.866110819492	3446.2113813628243	5560.981847075167	5892.739554262856
15	2154.6702970878086	9479.921938837037	13777.076462449393	19097.586851600427	16864.27285391902	1656.556681546096	11428.56757253447	13217.142480153616	11084.312724965208	12888.132631733697	1158.9800454567514	11306.920532513619	9370.500455179215	16406.475516583017	19830.46787749827
16	64.02171388885249	169.16970655614293	221.80276398948195	270.7424510699673	350.0816116189471	48.688945570086744	219.68822326510676	233.53092947005564	278.58401618286956	378.2116762801764	78.88865531375211	326.53301238578064	263.3547988446288	299.3157059957378	304.33165715941817
17	42.419847008931406	91.01853219680964	70.28533115328425	128.3922515904974	157.0282116141139	36.975789736137884	89.99867787881647	70.31410512837775	104.5055017113654	214.0968921976893	36.796462669858016	79.55561332710896	73.92836859268712	94.23791309653808	122.37881438240584
18	48.5574728177055	780.9051048117088	1408.9552816359717	1481.883165744887	1344.8626477563976	59.47061967581862	319.1257884540631	490.98901157400195	1390.205669353785	4707.509834712143	29.576591391908437	490.0701809676817	1171.7352286960434	770.7469664271379	1392.2367667127064
19	74.05688529895039	2731.421594571502	4824.504743012288	4587.244974735763	4010.8546065196824	81.45101678828773	2276.1169977244826	2448.4254824847553	4660.438265743378	5935.188759603568	71.69920991065905	2458.6316087699465	2408.5119150627215	5150.757608173082	3899.615861669685
20	0.0	4.691993183518055	1.9560563827412736	3.335576413720664	7.984766359387014	0.0	1.9334178584984965	3.120607972805169	6.385609536714224	26.408210610497086	0.0	1.7466956807848024	3.4111435860524	3.3989773324513486	2.0603186983403146
21	1.754621444570424	5.8151211075355596	11.663723192762108	6.551161298730675	12.020610996326754	0.6039850165500166	3.662818355886429	5.908483286040957	8.593753754657362	8.478718228372474	0.6335938504629732	13.857212619787829	5.52703863997873	8.212761508710152	14.490660761821987
22	0.0	1.3551727388350248	2.7582207494292894	0.0	2.137259089062914	0.0	0.7606224491173406	0.0	0.9940947862921065	1.1564858999202796	0.0	2.037949014547578	3.227256229741555	2.4179971795524113	0.7938392805267037
23	873.1747426866215	52217.42809927749	1429.385519287257	3153.5614458562877	4922.481062874381	282.0301290594415	441.0272733864669	1343.3111939941734	3875.5201876023702	115119.16374181735	476.4081869214992	561.352483365059	822.7362102437539	2099.183431812685	4683.952255095147
24	67.6044213516924	2151.334475773716	57.19331914634187	102.08268125936904	109.56906808493642	78.28976968559851	80.84215954074313	68.7379191311277	83.88692440348954	3388.6744225165717	66.32451576026949	54.52422542732648	72.16437460331649	69.41360242798908	126.91336581745834
25	399.43567096559406	711.3858987671736	372.8497238406305	754.5697952892651	748.4888928001504	463.4463432801458	585.3271446060168	599.9050617611791	818.8951110048735	1619.3157960998044	592.0093533429158	400.71475811274496	212.74668179034484	562.0955644250653	1088.0775829619315
26	2657.6410694325277	9059.172940966526	10601.94599765987	11264.561686138659	16655.94015423118	2412.1691577549436	8797.274928187955	10138.688945571672	18788.999544920134	12651.76343815038	1763.0153732588708	8070.488936195509	7100.145351657975	12563.515783209372	9723.639075229657
27	19871.226984049597	339402.61453157227	274534.53492376185	345797.3879442386	643461.2541110569	26584.360857427837	447104.01350235584	508248.9169589467	623939.4837359915	323863.1871899422	29126.389124902562	473655.48255258275	279221.90011081507	590302.678077608	255888.3224508466
28	11877.131665134728	20962.080384237615	26833.182750226148	25145.3518631352	20266.4901709839	9192.380894489963	33998.55128402787	33816.384110773	33070.16034332549	16243.619264928528	13061.577747286141	39331.93872209408	17657.01125012224	34176.683645699195	27701.691515449573
29	7308.9905851625535	134130.56370284135	171000.3942645203	171957.95088700496	130700.70097499927	5104.696821047573	118216.22000481973	88749.22902577213	210282.81706036744	123314.15090199963	4459.2916774436535	78846.11179726342	126640.47511319144	169007.5028799294	150144.28438133898
30	732.5824988427755	5386.098403960566	5269.147951587686	6197.4799856794	7295.130088011595	427.00093528981466	2967.246038001364	6097.964495381076	6887.963609118629	5703.872686310526	490.8529602483068	4050.6837539875974	3441.71441961827	5548.208701113486	5493.286714469868
31	416.27071815797683	8708.107064230766	10738.679284615187	18607.723138121783	20838.863497826518	384.4148869285058	8465.6628203332	7824.850265278364	16620.431298021733	11284.566828028646	388.13701312952	9136.695188513171	7043.647370640879	14252.826685776134	16036.137730992961
32	34.981051153198834	252.63844613240138	551.363307173596	482.14615754855026	469.40367473275444	19.59893218487029	208.72215402791826	414.8989691357374	436.715472602947	1043.051909147163	15.229925087897529	218.18785194103523	456.5152449077216	477.0863634930107	388.5405096911174
33	3.7935505891540413	193.9469641705279	85.0552822467556	237.51989777621426	241.98546405277102	11.755347965265855	107.41296187180282	122.24372083433649	279.75433215401273	304.6692899989997	6.571738479717669	109.73652368165394	118.09142862654979	161.44011327423684	160.15308024923928
34	3.7468579039145125	53.08263174753698	24.8337859920046	64.27489268389603	47.31124379982622	2.8151601930921086	17.310598414046147	43.95317789260709	56.1120600427255	74.57734011074093	2.7341784373270115	14.966192524590701	48.246376891343985	49.378579114411906	54.08832026164353
35	1.7894702253797192	33.63645728355773	37.55377203255373	57.61768365621815	39.234980607210595	1.0819555405946355	33.00600854259978	48.98340044601038	57.30425672831935	56.23160503976232	0.0	45.694214149401276	23.21633917173485	85.4061197722653	58.99681833551776
36	96.66145600030582	83.76854150518838	72.3039805315474	167.69932460964523	123.359958602173	134.15525314366778	48.72500910106099	76.96435900206981	154.10253962625043	148.43856669835034	90.22202681648778	96.54164564689552	63.88638832064483	190.55958735654235	105.769889056837
37	1533.7431134893232	2134.0484297037874	1882.4983212318782	3204.7777003191604	3685.8987049450884	1254.4268234768965	1417.384338970316	1933.1714670451431	5999.026561307076	2381.224602610532	2046.5317519441269	1880.1551835171779	1442.0668466728216	1926.2839227135266	3403.6812106426178
38	3332.38222986807	7800.3498920686925	6581.591733585878	14755.674055275089	11422.608344082173	4217.670248288024	4834.823268387755	11337.70015159	14494.088900202369	14834.39581512904	2787.7472560804867	7137.281922587978	8660.743500871104	10171.04126334822	11020.746333551255
39	20613.33778141136	120323.0885117435	109700.35133182634	271871.1410814071	157472.1562297129	19844.577617943058	87775.67687334545	126610.00493164986	100037.65224130315	181243.60227913762	16267.572372276029	88697.19407981352	99720.53740317657	160313.0124098862	163183.79423258567
40	1611.2449863872116	23920.387737402198	12713.282336319753	25991.365993362924	20608.02293298663	2124.8451396129353	12025.15750428021	12452.233703220578	12769.478061784937	25219.989578005643	2100.704115824145	12791.777752720349	11074.098208158908	18657.989681939147	23644.488169588396
41	5392.587881707428	256042.90382894	125079.8662981585	259749.59340961787	195836.21883817393	3592.1965737473506	207080.40606398782	164565.68961105382	259243.4313092636	239846.51213153414	5373.630151624027	191567.2293922758	237227.4093613516	205243.26945180472	293899.79919038404
42	1553.8564798157743	24732.210583071	28803.54718439231	23827.100837974376	38525.003324360514	1033.2739068287647	13132.511008928068	27046.94420044297	38820.18442758849	33659.10448363136	704.7681368084885	30303.440633461607	17532.39669660486	31066.683027350293	24233.331877877255
43	2232.1726247703914	111360.13609895068	84476.04070877381	139641.59363147288	180822.9879892179	2112.2092162922986	106303.63495968953	94730.22026830181	190013.41368946873	198096.81852845143	2159.1894602127577	89418.82495616251	109509.49159480438	102787.6584335366	213381.49595098046
44	1069.4368519930804	12808.737173266441	11844.462147168713	20085.475332658214	15877.311333672878	1223.8063305316057	9548.729542700916	18817.306492485928	18824.963861495136	17528.184465161292	1145.4322972356476	11149.006529502425	10952.749866299979	11720.161091541138	10880.140376417543
45	21643.26186664604	27214.26187627979	21702.962597977054	19316.462630148784	16541.953589250385	18467.963506219705	21440.964911901905	17621.71295875479	21430.1659089192	19005.121798413536	14690.357353529103	19923.518169148323	11913.008651732378	17961.259347303	21748.82872653843
46	950.346973838345	1409.9082836597343	1831.1637671718752	2334.708137017706	2609.8899241998	607.1058729496856	1474.727985412193	1430.707527193773	1996.13204702072	7117.126325054492	913.6609437743751	1530.9657641445092	1093.9600333530714	2375.814699496612	2204.8352549984693
47	1121.6201039234786	1819.09665883438	1514.6927060981589	2239.097554984523	2965.666970549219	855.487082502964	1460.619679884518	838.5630842818879	1517.6930424921445	3199.5715258514233	901.2365525517107	1424.9436495104692	1229.0420104086324	2140.7994348533484	2090.344494105781
48	65.67111451115049	421.9946172076227	600.0420441065387	555.5837993394024	714.6441634272346	93.08966541055419	419.3216776375348	551.9501426772031	578.6221257641721	634.8375332861625	51.59562330961269	395.1876271011874	252.62061360422013	633.5593097563227	508.987690850252
49	485.359946459945	711.1316971295614	695.6666440852534	1099.380691965239	1103.4644715246895	754.4670353698741	492.3473833646588	568.8394120538537	896.5835648274302	1323.0377310318597	350.81635260798294	815.1732061876577	545.2664589055304	1175.029272475462	1373.113202299112
50	6136.466485425073	13086.189943537236	12812.886987780423	15608.1314258375	23560.38328416669	3854.12008505371	8224.003736848463	13834.82780759974	25911.199974927622	21243.562897577576	4790.836397462214	7415.729824287922	11948.19403039239	22439.162608247465	16586.681030621956
51	12433.509009073863	26693.541111247814	65525.92862030918	48758.789508963855	54682.72036003299	12030.376776433557	20734.884555469074	26818.388575395416	34376.46782650377	47027.468100218255	14878.995594157415	31302.03754264935	33903.20564361525	51822.65675746468	81610.38569471061
52	2974.21686901511	10505.02016788733	15702.29937285947	13578.355834211245	15986.785237497465	2553.3490608735738	9964.373054283673	10426.169875699958	23148.279585266246	26452.671159001227	3141.3831453099765	6342.457915096973	5821.684887456704	17917.72057742877	21380.22556813788
53	8411.380543496527	34520.25792026368	39162.846748666285	74211.08490258186	100756.53811576571	7374.008027919367	45522.49074951389	28879.657302920612	68940.01527535582	58012.067101004366	8018.942444243524	33728.28657462672	51914.283307529804	72925.47705606783	92604.2847981731
54	1132.2599626103179	16317.461740580922	14690.606234390607	13684.148816710014	21082.076188004485	1474.1793784550266	14855.450928303344	14235.785249461522	17172.04740108083	15207.596250579129	722.5459095637532	9290.103104301259	7467.598642749974	15400.662324134113	14302.159623680847
55	1743.3218665935613	84338.69388932467	111694.07815268665	99301.67096378167	128164.35985247228	1031.1491441659027	78563.17523727485	41408.72618200406	146080.46983067333	134553.98509999464	1472.2869244769026	69504.30566050258	58396.03925371486	115471.91023341999	115665.25246286382
56	238.95355654156808	12232.937558306361	9016.096241515295	14978.649381000421	13315.958255655316	228.0844267483672	9002.332550875593	14563.486170323597	24515.170363557074	17120.87690392204	218.81040532926977	7768.833381960699	11214.74625202183	14387.207696350035	12671.042090780073
57	247.19471056949968	40762.1148576952	63903.095802181815	47694.439507778676	60935.80127370728	180.55450059577976	38633.75099087004	60545.80792881539	49576.48536329905	84925.25910187663	280.9223993319524	73299.23940983039	53809.15093613792	42753.15806396334	60792.284184591685
58	114.5104368092249	3937.2780010325455	5953.573350933358	6784.780215830553	7775.849915494229	82.51504963653123	5208.879417773743	7233.155734279326	7281.335147641697	13450.28567287211	77.37663365614965	3769.9132675377946	6087.272504651707	6642.213940774989	9372.266861922151
59	121.38440704728843	3842.730224793145	6144.879884174874	4906.671725958442	9122.052616125138	124.04705392721841	3634.8133103969653	4048.503293599749	7217.167726208742	11832.301725576259	121.1852263407197	3892.451834737883	4405.357863057117	7146.0071073930785	5604.473879535246
60	129.32852495873288	1103.6246383979856	1077.2836581837705	1435.6592378307837	979.4155463509119	231.0319086558423	1127.6931928868555	1281.2428526598044	844.9087236762548	1405.5409626555518	130.07771750622598	1029.7641491051004	1267.2842311933746	1232.068179381181	719.9766953762733
61	2395.434254776443	21244.664634216013	25003.53023386308	19664.232368997156	25226.468266681164	1787.0390199017882	17503.0738686256	18688.117057290707	31666.451134016148	47580.663045874615	1737.5393557981836	16634.598551300773	9745.531019374552	17115.881193629542	33678.56290918421
62	5773.844963188775	4266.283667187006	7570.536366789188	6010.840708011628	9237.382193477617	5514.949938697433	5935.171647011842	4779.664583899459	8862.889036928796	16278.781493643897	5449.729877409315	4431.723107605973	2771.7799120015015	8586.170636739149	8125.93625757961
63	14488.47220400059	11005.806039170731	27700.57912886267	22477.688995783825	42565.71369273851	9276.676449596978	11024.52820740105	16864.594315441977	38310.79358433343	23053.918554326312	10934.148327406518	10820.824147594976	10783.174707591697	37300.39851393097	30464.917722435603
64	1621.5003194547462	2765.377637321856	7026.633462607338	8878.818538970276	7434.203496936571	2110.108462175586	2303.0573784221137	5438.578782504195	8171.489614484457	12196.525845356568	1397.107120040923	2516.0683439616564	5431.855183811083	7107.4528485013825	8177.023570222881
65	4695.14977996468	29833.735731230627	34981.38484400619	60850.50856890323	102133.31630832658	3719.5765847390076	24793.34816730972	21206.425527577678	46056.04879294691	98309.85080762274	6854.38685833696	15720.301599996	23515.383291536622	57126.93143799558	78473.80559867948
66	1850.5047961001083	6647.188526620976	10154.61826683602	9446.890968795418	17224.322235115244	1353.1151123248385	5265.07795644921	8215.539781097077	9918.816632889662	13455.855718789173	1476.2849694857457	6099.482286240499	7400.618692691093	9798.352120136647	14465.156428023805
67	1577.2509150232222	20763.05180727825	19426.3705598627	23692.979607811183	57055.679447074064	826.5961595086798	17769.594260966984	39508.659310120885	26828.958788260134	39600.982910906234	1044.9368250638668	14937.03172795881	16380.302837537438	23795.748731254767	36564.94651518438
68	268.6564610235887	6293.939210164487	5996.603960098873	7954.619952536535	7789.3428279484415	294.4787381406234	3785.5670095206356	6187.921263749228	8337.984345100298	8298.637424153636	319.53213019648297	4415.9780793042655	3144.485183653596	8109.3055032913635	8418.732484783222
69	638.1012686173932	18916.9202613191	43769.233912935815	48356.03828037376	37382.097860330694	561.381074779657	22709.595944352222	19510.66661612028	36744.87413540848	37119.85958256217	443.87505543879206	20692.756072941695	17294.18633656382	29489.037343333675	31949.65932357892
70	273.10889005926214	5714.826976343344	5084.548191306697	9325.90140037127	7019.464985247076	213.2545327030712	4021.4963379324026	6248.346163422537	7866.7863938081855	8909.555213039373	226.70802275980702	3475.028028367056	4215.691791737124	6034.3833898567045	8685.080881747968
71	526.0339442376558	8159.43309072366	22964.967493290875	18973.481790022553	19548.02631306146	539.7786663531842	8461.765451614136	8122.870510754774	16931.046722750838	28971.65266434805	750.5390654914139	10775.857835883606	9325.837634271704	10258.03750476018	14981.890190533695
72	1031.1421317021668	2308.4976020448403	1385.8215566374804	2498.2533595049276	2632.5237999435785	919.3494909937928	2064.425282396312	1115.404887429747	4789.190557673981	5171.683672558746	800.961150672795	1191.5559507505575	1958.4714548171057	2798.9513284711215	2637.1547388594668
73	993.9061517054311	7777.473513719978	9956.44338358245	9224.400837768757	11645.271610668258	732.9177427001977	16203.361444126538	11188.316028650255	12585.859509758422	12665.919780652317	1002.7283678816655	10327.606336496532	10957.15080708277	10319.931456597782	9615.277640079601
74	6506.824016868045	4697.477310095115	9083.138375087274	7735.472103293213	11242.285794254774	6352.288849859383	3261.583695519135	4378.727501224347	6701.830332952219	12920.554054980788	8011.826324243321	5095.945693738431	3439.3005108450357	9228.35632373058	10694.860793264577
75	5818.659643919902	7780.024335003893	7742.7385318030065	14639.494689029381	13289.115377188518	4597.047935159672	4748.368979011067	7635.7853975224925	14036.622102386511	20795.314337023276	7109.848668086362	4611.50301001505	6278.734971767938	20932.364529717895	15520.99252414378
76	3088.3497959748256	3770.4039512123773	5418.247929387469	6695.754159616942	5991.70118585733	2146.0578944498466	2377.766314159019	4340.012725536118	7977.492169397042	7539.528787778587	2161.0155005620827	2202.1623508684916	2888.4342063307627	5727.277257315436	5470.832235723714
77	6006.693432706515	41535.885992534924	87302.99461914688	63641.1313104462	89658.18030974767	5436.409151894358	47031.739242424104	54348.910358510926	71285.14107157684	183229.82907223483	9596.894847675136	34335.93243090731	40369.47644368118	80687.04436105023	85701.38072754582
78	1094.743419955916	7015.949252685006	14411.23133212084	13422.861882662915	20638.088299263905	1527.2771801013778	9684.302707862103	8726.300978246123	21546.903489148463	20045.721603806924	1200.225057223774	6690.469635252163	16383.011511291234	14584.233490627203	25764.204491881876
79	2075.04140438225	14156.525128575067	23081.831238399252	30346.60008880018	32400.260055019822	964.3394086746575	23877.690348184373	11641.833106681552	25799.742320776142	41709.55494158897	1280.1727686335682	12581.851265096333	12052.433216169133	27325.793917136205	36293.260800321455
80	372.02990788792533	2678.3226484773804	3666.961784219042	7158.125799253044	8450.848692799214	217.8610016781278	2108.9107873831117	4388.821357298985	3620.808301833765	7642.23182961913	179.60276655725426	2054.7215864553136	1552.4567634921955	4472.043225206594	6708.111337795027
81	386.79595349574737	10086.57164947778	10524.85487908659	11022.74928635442	22806.196069093177	180.71160220921877	12276.00090547228	12069.154823161585	12614.301081027263	28806.02028840511	195.52646730497247	10051.35832520777	9627.994464643127	15348.211105301449	14881.191813109408
82	90.24854317675708	2727.2443226836676	3728.1795710501256	3373.989920072127	5896.164517706319	44.55140213738585	3583.7125915461816	2337.124174453341	3257.462552175301	6242.604356985812	86.68682699760961	1847.7559427929496	1308.9906525966223	4687.3048013590505	6671.140534980282
83	125.35089100069875	4340.823263277411	9521.580111311348	11224.045965701145	11385.191791342946	69.45621403892774	6819.747028060102	6620.9370351087855	10484.955981459443	22415.43918830285	77.81281567920308	3630.3564452259648	5241.749466440353	13193.182722557269	8968.640985529899
84	141.17323660306303	1594.2707593521186	1269.732729363753	2545.561755335427	2198.613210297284	118.10463167214893	1207.758976510252	1524.224099316504	1504.0567967971745	3770.1168467409743	231.65514196525137	1010.351045887423	1219.351152599749	1963.8666004510778	4281.625698786797
85	1382.0388219121014	2680.376001257905	3963.5139511570987	6663.023705216816	6451.165853179284	1866.7440908757649	3378.8462862063584	3047.858505916062	6215.424692895172	11503.574960666872	1270.2154520962317	2856.0994408428214	2703.912221328216	6209.576282069572	8208.581493474112
