Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	7018.941653394138	2793.328187210941	7168.76564850186	8665.811981037843	9262.900235243931	6387.098259363924	2877.819919947967	7087.039928836132	8768.77115330438	9414.184136886486	6590.648021126101	2606.4238194998743	6666.584200214115	8301.425106961065	9480.774361987354
2	610.3489053948894	135.01772623781287	653.399509037425	799.5966544395098	829.649731656318	609.3463756380969	132.01643658439866	679.4350493483942	772.5625722517057	777.5714832958645	594.3301616698902	119.01404805842226	602.3425956263684	840.661509053166	845.6749256482101
3	196.03708854782272	28.000915572824365	227.0492471016784	252.06119274328103	300.08629214700903	197.0369434766448	30.0010986970752	202.0382487771679	304.0915916171997	277.0752465916696	173.03060951333737	23.000892703345887	190.0353182130426	262.06699432764515	279.07323062247906
4	0.0	1.0000076294721425	0.0	0.0	1.0000076294721425	0.0	0.0	0.0	0.0	0.0	2.000015258944285	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2.000015258944285	0.0	0.0	0.0	2.000015258944285	0.0	0.0	0.0	0.0	8.000091554286604	0.0	0.0	0.0	1.0000076294721425	2.000015258944285
7	28.000579853387304	3.000022888416427	2.000015258944285	10.000137331740357	4.000045777143302	0.0	2.000015258944285	2.000015258944285	7.000068665559729	86.00599735950091	0.0	4.000030517888569	3.000022888416427	8.00012207326174	12.000167850405044
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000076294721425
10	5.000053406615444	0.0	2.000015258944285	6.000061036087587	2.000015258944285	1.0000076294721425	1.0000076294721425	2.000030518199017	3.000022888416427	4.000045777143302	2.000015258944285	0.0	7.000114443789599	7.0000839248144615	6.000137334223938
11	20.000396739381262	0.0	16.00039674465887	19.000450151584765	12.000259407796127	26.00088505369393	1.0000076294721425	21.00048066792109	12.00015259068464	8.00012207326174	18.000610386022217	0.0	18.000427260995203	15.000343334162828	7.000068665559729
12	928.8123121831244	557.2965945187646	975.8930969599096	1235.4344106511596	1384.8209759309962	909.7748013035532	627.3666014066256	1000.9471141272608	1287.562121129698	1402.8562025081008	829.6549187702516	477.2166784386112	868.7130242590052	1162.275605042459	1430.908558743308
13	1641.5566607548783	499.2375409826384	1669.6336491278023	2056.0125793587254	2324.06295536266	1492.1053395249824	546.2911256198587	1669.6218397310504	2130.263056365539	2260.800836595517	1508.151425506797	495.23468592830886	1524.1881815847123	1932.4995132530803	2256.7647369115366
14	3789.4994871745375	983.9230661901812	3998.990883831507	4521.211468229133	4891.52979619936	3451.221309054624	876.7376612178421	3813.766257920866	4657.493242073991	4927.760087530129	3481.42490941254	868.7233799675724	3501.558593114065	4382.086923989865	4905.573965126348
