Sample,AI_sim,OI,AOI_pos,Metal_Oxide,HC_Degrad,Chain_Scission,Pattern,Dose
P1_2000μC-P,0.02099631516605419,0.46205357045084783,27.926692220910855,24.309596439670507,0.17516371637773331,25.266124246232533,P1,2000
P1_500μC-P,0.0,0.0,-48.56311929495674,-39.95810658595806,0.0,-41.50371588259996,P1,500
P1_5000μC-P,-0.11131738085231646,0.08208694476718101,11.881161129057537,10.20754438503716,10.24156260692629,11.423212647820147,P1,5000
P1_10000μC-P,0.573683257935545,-0.015339564485935412,9.342978813433048,7.890992672873316,0.2448223105807314,9.002673202194009,P1,10000
P1_15000μC-P,1.0463285476107391,-0.08578606503050544,6.527180426570203,5.245070639890527,0.13680589306860264,6.730295063322867,P1,15000
P2_2000μC-P,-0.23903070831671683,0.29087145763256395,19.49146682245217,16.371414210745606,1.5505010427110646,17.80084610859706,P2,2000
P2_500μC-P,0.0,0.0,-49.02336076887096,-39.951462537602346,0.0,-43.73884571876373,P2,500
P2_5000μC-P,-0.22068037465781823,0.15100424356931555,12.89531194028943,10.785148051196694,0.0,10.488119335964488,P2,5000
P2_10000μC-P,0.6621727961927624,-0.018197837539808318,8.299222020919535,6.42544402773896,0.24454044020030097,7.275582577351109,P2,10000
P2_15000μC-P,1.4897906678706299,-2.788078832449406,-5.613688641017127,-7.281795135822879,0.0,-7.052122035228333,P2,15000
P3_2000μC-P,-0.21876968626459864,0.33216945061446823,21.802000174947878,18.038625979819308,0.7381143477017179,19.776177993915777,P3,2000
P3_500μC-P,0.0,0.0,-50.49869777257766,-41.37839216464859,0.0,-44.911299336356976,P3,500
P3_5000μC-P,-0.08865656755746087,0.19653555699580819,16.043622156841707,13.403335620806818,0.8341355448799418,13.31611636127051,P3,5000
P3_10000μC-P,0.6239832143193277,0.05522423311934419,10.901374106886317,8.83282552504967,0.20269028489382485,9.531767609344808,P3,10000
P3_15000μC-P,1.2421730352908968,-0.04185302976122136,8.587856665113815,7.059758871203336,0.10226735699427339,6.595067826935649,P3,15000
