mass	P1_500μC-P	P1_2000μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_500μC-P	P2_2000μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_500μC-P	P3_2000μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	4.3705716602042015	3.8885758577911584	-5.885716039237412	0.283343983515963	-2.564154098604932	6.368683055886821	-1.2173421986731194	2.5242803393090107	-2.8221835270715805	-5.493516515467467	1.9524225942034434	2.2531619132804694	-2.8072291242770877	-1.039326126655486	0.1884282257959821
2	-2.495685144673103	2.4895148009205155	-2.4386064205966393	0.48884591168518826	-2.345417425105421	-0.9456385595487772	3.723924705409304	-1.310766827541518	-0.26536352214959263	-3.426467198522044	-0.9158023590694341	2.7565127060116876	1.385939387404266	0.5918142141793946	2.7071957315961734
3	-2.512977177366379	2.2886743586944296	0.6961222453321549	1.8706112746257435	0.3210636605710044	-2.551799734971665	1.9195577850351881	-0.2948659153371	-1.8090640282572417	-1.173273602050786	-2.215694864863728	1.3267205528162298	0.5191909663294948	0.3417200757993609	1.2740144036432977
4	2.2204501936299805	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525	0.5918529899372583	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525	1.2470975921341436	-0.33828339797511525	-0.33828339797511525	-0.33828339797511525
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	-0.541312850026564	1.385219288754119	-0.541312850026564	-0.541312850026564	0.7066966285392156	-0.541312850026564	-0.541312850026564	-0.541312850026564	-0.541312850026564	1.7610437102324834	-0.541312850026564	-0.541312850026564	-0.541312850026564	0.40304612917927285	1.1571227435605485
7	0.9443212772424562	1.4708239692592415	-1.0190670994560775	0.6277766447731244	-0.7006665728437914	0.6714772868568372	-1.9375262687732422	-0.9158429774069499	-0.3723451998505166	3.038606459042484	0.522757353889802	-1.9375262687732422	-0.6002678609091293	-0.3955782846890489	0.6030575416380516
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	-0.11704093516763144	1.63857309234684
10	-1.675118533512557	0.8897052702961683	-0.448894801810625	0.5156890590875769	-0.49636618356916967	0.19534501696749354	-0.6223476909479669	-0.2105281858317617	0.042407036087707954	-0.14484487316628217	-1.675118533512557	-0.1512489484199092	2.049061336628391	1.2040985767705426	0.5281614549329418
11	-2.4652282805343964	2.3956830708094543	0.3271440767648868	0.23181035934227254	-0.3866566649459618	-0.836194373209521	0.6648892982879823	1.3328614365790468	0.41553938659544226	-0.6319872865435657	-2.4652282805343964	1.3309534755198953	0.23811753277226175	-0.29129287748540905	0.13958912658200665
12	2.9043350954168297	0.276903146199733	-2.0551963470517256	-3.0115637526923194	-0.05894496341627426	8.131489933627952	-0.11061338015366715	-0.9046814517507913	-1.6218659916403624	-1.0249994137692728	1.281998808029919	-0.4099031420392139	-2.6597085848989974	-1.91792852295699	1.1806785670952045
