Dose,AI_sim_RSD%,OI_RSD%,AOI_pos_RSD%,Metal_Oxide_RSD%,HC_Degrad_RSD%,Chain_Scission_RSD%
2000,-81.10664813298918,20.165255670723237,15.42504333621002,17.460556559371287,68.74181419039978,15.076901212527682
500,inf,inf,-1.6726009864908815,-1.6599352504205676,inf,-3.2580885319869872
5000,-41.109267595778405,32.85233282665001,13.024514718266847,12.1279240355508,125.78387033015123,10.018243213463856
10000,5.845391897553716,469.7484258616414,11.237840220105296,12.836665894823938,8.581043654404638,11.19790661142994
15000,14.40757700239604,-132.1479045626109,197.83613174095345,380.81361016840225,72.89078741897816,309.1921485140236
