sample	OI	AOI	AI_sim	Aliph_Arom_Ratio
P1_500μC-P	-0.005108107160830014	0.0	-0.016995196803995135	0.0
P1_2000μC-P	0.025855663457606023	1.166287805186026	-0.007732086385545277	0.0
P1_5000μC-P	0.006282889979026486	0.06775166947956943	0.032087643718196494	1.0164902934487627
P1_10000μC-P	0.001091484009863645	0.06902956910334133	0.01208251201564255	2.686834318127901
P1_15000μC-P	-0.019510290271158297	0.0	0.052492370079264064	0.6419739085130041
P2_500μC-P	-0.0013370319623221012	0.0	-0.022769505603962667	0.0
P2_2000μC-P	0.020626660124141178	1.8027136403415234	0.0004097402658297549	131.42124007050222
P2_5000μC-P	0.01654589678709308	1.6882522480899784	-0.01986870218435054	0.0
P2_10000μC-P	-0.0006934868167959054	0.0	0.020378945667602982	1.6751737444018773
P2_15000μC-P	-0.043170360733425964	0.0	0.019658708299314973	-0.010543038584243011
P3_500μC-P	-0.0060333763565966515	0.0	-0.012918134999924008	0.0
P3_2000μC-P	0.03965372632610419	1.1997653433853672	-0.03301637407238708	0.0
P3_5000μC-P	-0.002341441427560805	0.0	-0.034709793873058295	0.0
P3_10000μC-P	0.0007735575785987045	30.12302159539511	0.030837119075342433	0.6011039316625251
P3_15000μC-P	-0.01196118025297994	0.0	0.03969166732138558	1.1555705966092558
